script_name;original_energy;optimized_gpt3_energy;optimized_gpt4_energy;optimized_llama_energy;optimized_mixtral_energy;baseline_energy;original_memory;optimized_gpt3_memory;optimized_gpt4_memory;optimized_llama_memory;optimized_mixtral_memory;baseline_memory;original_time;optimized_gpt3_time;optimized_gpt4_time;optimized_llama_time;optimized_mixtral_time;baseline_time
附件__profit;106.23679250085843;109.77554372154215;104.57187805176363;100.28529459640849;120.49750315343069;0;63590536.53333333;57260441.6;82805691.73333333;59699200.0;70224281.6;0;9123.3;9256.866666666667;8850.1;8749.9;9136.666666666666;0
cheb__test_galleryball;103.78444468173741;107.96679178873504;104.97642669674048;120.31364949540779;110.79284871419465;0;78244932.26666667;65967991.46666667;68255880.53333333;61329954.13333333;51472110.93333333;0;8889.833333333334;9536.9;8543.066666666668;9810.2;9543.5;0
tools__runTest;121.48002217605244;128.9384735106995;125.57060953778564;123.08286488852076;111.75041402173616;0;49329766.4;59045341.86666667;62872507.733333334;62668390.4;65769335.46666667;0;10063.5;10823.9;10403.8;10263.733333333334;9356.733333333334;0
chapter8 基于量子遗传算法的函数寻优算法__QuantumMain;103.08843332932253;109.80405985518979;103.9407318114633;107.29984232576486;105.36995442705035;0;61118464.0;63566643.2;70336648.53333333;59049301.333333336;52949811.2;0;8783.333333333334;9203.333333333334;8676.566666666668;8956.766666666666;9456.833333333334;0
029_Time series forecasting based on extreme learning machine__main;127.0148595173106;120.22622985837515;119.2651418049781;119.42629394525429;119.38366394034625;0;45043302.4;56135816.53333333;61889740.8;58321305.6;59504913.06666667;0;9496.633333333333;9783.666666666666;9543.566666666668;9850.2;9977.0;0
瑞利衰落信道下MRC性能__MRC_scheme;110.53694457997723;111.00299479174815;107.70407867422134;106.10482126871551;107.5676417032703;0;53466316.8;57368302.93333333;72719701.33333333;72607880.53333333;80344132.26666667;0;9570.233333333334;9516.633333333333;9023.233333333334;8816.5;9036.733333333334;0
p22__findr;113.0076492308833;101.14843648265814;119.62797241215594;112.45014241530056;116.98217061366498;0;57462647.46666667;68961757.86666666;67578402.13333334;61134028.8;64274705.06666667;0;9149.933333333332;8549.9;9210.066666666668;8856.6;8863.233333333334;0
examples__example_quivers;124.24512532555188;124.59215443929425;121.95714365644768;129.02251688644174;134.12501373291985;0;55419426.13333333;53143688.53333333;69249706.66666667;47696827.733333334;64714752.0;0;10490.333333333334;10117.0;9850.233333333334;9663.533333333333;10090.433333333332;0
UCI_DataSets__monks1D;107.61932067867214;103.6364089966674;104.65405019121245;166.97680562347716;121.93795369470803;0;78030984.53333333;67595878.4;69835980.8;60855091.2;53566532.266666666;0;8556.5;9269.966666666667;8963.233333333334;9443.6;9090.033333333333;0
模糊聚类__main;123.50189819335938;220.4632197061709;210.98951212568403;216.43051503501871;211.56224466954203;0;61208849.06666667;130909934.93333334;111104273.06666666;142062114.13333333;112594534.4;0;9816.8;18573.6;17453.166666666668;18453.333333333332;17386.533333333333;0
案例24 模糊神经网络的预测算法-嘉陵江水质评价__FuzzyNet;113.21662495937393;109.4807011921405;108.08717447919189;104.94603169774831;107.12447611496512;0;70750071.46666667;77854993.06666666;58304512.0;78403857.06666666;56217053.86666667;0;9176.7;9056.6;8769.9;8803.266666666666;9163.366666666667;0
CAM__demo;164.60858662918133;141.90994364423096;153.98929036455036;146.4234176636169;114.1822947183003;0;50521156.266666666;72175069.86666666;39645184.0;61020023.46666667;61992004.266666666;0;11890.8;11584.033333333333;11517.4;12210.866666666667;9443.533333333333;0
minAccel__MAIN;107.69770965584321;111.15284983319386;111.28654327389474;115.3028401691583;110.86548207595479;0;64527018.666666664;62309853.86666667;53968622.93333333;58995097.6;61975483.733333334;0;8803.2;9276.966666666667;9616.766666666666;8896.566666666668;8863.333333333334;0
p3__p3;102.31720631910333;106.49622751878924;107.11946360275033;103.83287150057537;113.73556671151697;0;68915609.6;44841506.13333333;65654510.93333333;57329664.0;49769813.333333336;0;8629.866666666667;8936.666666666666;9170.033333333333;8790.033333333333;8863.233333333334;0
2D系泊系统__effect_v_wind;108.33664143881373;114.67391255703794;105.13432668054593;109.8645446777887;167.8955251058486;0;72283886.93333334;66905838.93333333;57514530.13333333;41721582.93333333;58639701.333333336;0;9190.033333333333;8969.9;9049.933333333332;9256.766666666666;9297.466666666667;0
