csvFile,rowNumber,sameOutput,sameData,sameResults,runTime,runTimeAI,FilePath
gpt3,1,0,1,0,1.680475,0.0778534,2DASL/evaluation/nme_for_alignment_68pts_2d.m
gpt3,2,1,1,0,1.6071324,2.1012159,2DASL/evaluation/nme_for_alignment_68pts_3d.m
gpt3,3,1,1,0,1.0282778,0.9537024,2DASL/evaluation/3D_ICP-master/icp_test.m
gpt3,4,1,1,1,0.0987706,0.0743126,Algorithms_MathModels/FuzzyMathematicalModel模糊数学模型/多目标模糊综合评价/main.m
gpt3,5,0,0,0,0.1140117,0.1003671,Algorithms_MathModels/FuzzyMathematicalModel模糊数学模型/模糊聚类/fuzzy_cluster_analysis.m
gpt3,6,0,1,0,0.103856,0.0842823,Algorithms_MathModels/FuzzyMathematicalModel模糊数学模型/模糊聚类/main.m
gpt3,7,0,1,0,0.0930809,0.0683022,Algorithms_MathModels/GreySystem灰色系统/strength_analysis.m
gpt3,8,1,1,0,4.9451851,4.9119074,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/模拟退火算法/10_cities_TSP/main.m
gpt3,9,1,0,1,3.9899112,1.3023366,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/模拟退火算法/TSP(SA)/main.m
gpt3,10,0,1,0,1.5771523,0.1243738,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例1 BP神经网络的数据分类-语音特征信号分类/BP.m
gpt3,11,0,1,0,1.8913334,0.1515464,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例1 BP神经网络的数据分类-语音特征信号分类/BPDLX.m
gpt3,12,1,1,0,2.328813,0.9882424,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例10 离散Hopfield神经网络的分类——高校科研能力评价/chapter10.m
gpt3,13,1,1,0,1.3658141,0.2632441,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例11 连续Hopfield神经网络的优化-旅行商问题优化计算/main.m
gpt3,14,1,1,0,2.8588491,2.1621111,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例16 单层竞争神经网络的数据分类—患者癌症发病预测/chapter16.m
gpt3,15,1,1,0,3.4604761,3.38201,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例22 LVQ神经网络的预测——人脸朝向识别/chapter22_bp.m
gpt3,16,1,1,0,4.3420723,3.5961678,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例22 LVQ神经网络的预测——人脸朝向识别/chapter22_lvq.m
gpt3,17,1,1,0,145.6491025,137.8115784,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例22 LVQ神经网络的预测——人脸朝向识别/crossvalind_lvq.m
gpt3,18,1,1,0,6.6256451,6.1363442,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例22 LVQ神经网络的预测——人脸朝向识别/test.m
gpt3,19,1,1,1,0.77764,0.8170494,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例23 小波神经网络的时间序列预测-短时交通流量预测/wavenn.m
gpt3,20,0,1,0,2.0847201,0.0812692,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例24 模糊神经网络的预测算法-嘉陵江水质评价/FuzzyNet.m
gpt3,21,1,1,0,1.8330112,1.5593713,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例25 广义神经网络的聚类算法-网络入侵聚类/FCMGRNN.m
gpt3,22,1,1,0,10.4584565,9.9548775,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例3 遗传算法优化BP神经网络-非线性函数拟合/Genetic.m
gpt3,23,1,1,1,8.6776026,7.9833686,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例5 基于BP_Adaboost的强分类器设计-公司财务预警建模/Bp_Ada_Fore.m
gpt3,24,1,1,1,1.0980245,1.3949838,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例9 离散Hopfield神经网络的联想记忆—数字识别/chapter9.m
gpt3,25,1,1,1,0.7021988,0.4607726,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/神经网络算法/MATLAB神经网络30个案例分析/案例9 离散Hopfield神经网络的联想记忆—数字识别/waiji.m
gpt3,26,1,0,1,2.9780075,2.6316099,Algorithms_MathModels/HeuristicAlgorithm（补分启发式算法，包括神经网络、模拟退火、遗传算法）/遗传算法/TSP(GA)/main.m
gpt3,27,1,1,1,3.4440692,3.3558271,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter12 免疫优化算法在物流配送中心选址中的应用/main.m
gpt3,28,1,1,0,6.4379324,6.3868758,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter17 基于PSO工具箱的函数寻优算法/testfunctions/main.m
gpt3,29,1,1,0,1.6141183,0.4120688,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter18 基于鱼群算法的函数寻优算法/example1/example1.m
gpt3,30,1,1,0,1.538358,0.8627985,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter18 基于鱼群算法的函数寻优算法/example2/example2.m
gpt3,31,0,1,0,0.6317499,5508.8870644,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter2 基于遗传算法和非线性规划的函数寻优算法/案例1/Genetic.m
gpt3,32,1,1,0,4.6390603,3.893487,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter2 基于遗传算法和非线性规划的函数寻优算法/案例1非线性/main.m
gpt3,33,0,1,0,0.6247105,0.1222873,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter2 基于遗传算法和非线性规划的函数寻优算法/案例2/Genetic.m
gpt3,34,1,1,0,5.9364399,5.8462814,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter2 基于遗传算法和非线性规划的函数寻优算法/案例2非线性/Genetic.m
gpt3,35,0,1,0,0.766453,0.1215654,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter2 基于遗传算法和非线性规划的函数寻优算法/案例3/Genetic.m
gpt3,36,1,1,1,17.7692499,21.9479032,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter21 模拟退火算法工具箱及应用/my_first_SA_run.m
gpt3,37,0,1,0,2.5821032,0.0651799,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter22 蚁群算法的优化计算——旅行商问题（TSP）优化/main.m
