Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717978356201,995295.8510284424,4700,1,0.30000000000000004,332210.65800476074,4700,1,0.30000000000000004,566895.3451538086,4700,1,0.30000000000000004,364604.4507293701,4700,1,0.30000000000000004,365248.7166290283,4700,1,0.30000000000000004,360113.67652893066,4700,1,0.30000000000000004,364946.72511291504,4700,1,0.30000000000000004,371447.75997924805,4700,1,0.30000000000000004,366023.02700805664,4700,1,0.30000000000000004,327133.40116882324,4700,1,0.30000000000000004,325152.4778442383,4700,1,0.30000000000000004,346405.00271606445,4700,1,0.30000000000000004,109322283.06492615,400,400,400,400,4686,400,400,400,400,4690,400,400,400,400,4690,400,400,400,400,400,400,4690,400,400,0,0,0,0,0,4.34782600402832,0,0,0,0,0,0,0,4.34782600402832,100,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37213614080,0
199,1717978356202,995295.8525238037,4700,1,0.30000000000000004,332210.6594696045,4700,1,0.3062499999999999,566895.3469390869,4700,1,0.3062499999999999,364604.4521484375,4700,1,0.30000000000000004,365248.7268066406,4700,1,0.30000000000000004,360113.67852783203,4700,1,0.30000000000000004,364946.72772216797,4700,1,0.30000000000000004,371447.76263427734,4700,1,0.30000000000000004,366023.02893066406,4700,1,0.30000000000000004,327133.40270996094,4700,1,0.30000000000000004,325152.4923248291,4700,1,0.30000000000000004,346405.01232910156,4700,1,0.3062499999999999,109322283.17063904,400,400,400,400,4686,400,400,400,400,4690,400,400,400,400,4690,400,400,400,400,400,400,4690,400,400,0,0,0,0,0,4.34782600402832,0,0,0,0,0,0,0,4.34782600402832,100,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37216710656,0
199,1717978356402,995296.0606384277,4700,1,0.30000000000000004,332210.8965911865,4700,1,0.30000000000000004,566895.5696563721,4700,1,0.30000000000000004,364604.55841064453,4700,1,0.30000000000000004,365249.0321044922,4700,1,0.30000000000000004,360113.92166137695,4700,1,0.30000000000000004,364946.890914917,4700,1,0.30000000000000004,371448.03604125977,4700,1,0.30000000000000004,366023.1770477295,4700,1,0.30000000000000004,327133.4903411865,4700,1,0.30000000000000004,325152.66343688965,4700,1,0.30000000000000004,346405.91969299316,4700,1,0.30000000000000004,109322292.40696716,400,400,400,400,4686,400,400,400,400,4690,400,400,400,400,4690,400,400,400,400,400,400,4690,400,400,0,4.761904716491699,0,0,0,0,0,5,0,10.526315689086914,0,0,14.285715103149414,0,95,4.761904716491699,4.761904716491699,4.761904716491699,5,9.090909004211426,0,4.761904716491699,5,5,66480525312,2147479552,37223260160,0
199,1717978356602,995296.4259490967,4700,1,0.30000000000000004,332211.2301940918,4700,1,0.30000000000000004,566895.88230896,4700,1,0.30000000000000004,364604.81423950195,4700,1,0.30000000000000004,365249.4290924072,4700,1,0.30000000000000004,360114.21238708496,4700,1,0.30000000000000004,364947.1728515625,4700,1,0.30000000000000004,371448.46730041504,4700,1,0.30000000000000004,366023.4594421387,4700,1,0.30000000000000004,327133.7501678467,4700,1,0.30000000000000004,325152.97509765625,4700,1,0.30000000000000004,346406.84158325195,4700,1,0.30000000000000004,109322303.10151672,400,400,400,400,4686,400,400,400,400,4690,400,400,400,400,4690,400,400,400,400,400,400,4690,400,400,15.000000953674316,0,10,5,5,5,5.263157844543457,5.263157844543457,10,20,0,5.263157844543457,15.789472579956055,10,95,0,15.000000953674316,5.263157844543457,10,0,10,0,10,5,66480525312,2147479552,37306372096,0
199,1717978356802,995296.6254425049,4700,1,0.30000000000000004,332211.37686157227,4700,1,0.3062499999999999,566895.9868469238,4700,1,0.3062499999999999,364604.9490814209,4700,1,0.30000000000000004,365249.60038757324,4700,1,0.30000000000000004,360114.33543395996,4700,1,0.3062499999999999,364947.4754180908,4700,1,0.3062499999999999,371448.5753631592,4700,1,0.3062499999999999,366023.5456390381,4700,1,0.3062499999999999,327133.969039917,4700,1,0.3062499999999999,325153.114944458,4700,1,0.3062499999999999,346407.7889404297,4700,1,0.3062499999999999,109322311.9785614,400,400,400,400,4686,400,400,400,400,4690,400,400,400,400,4690,400,400,400,400,400,400,4690,400,400,0,0,9.523809432983398,0,0,0,0,0,5,0,0,0,9.523809432983398,0,100,5,0,0,10.526315689086914,0,0,0,10,4.761904716491699,66480525312,2147479552,37322211328,0
199,1717978357002,995296.6860198975,4700,1,0.30000000000000004,332211.6238708496,4700,1,0.30000000000000004,566896.0140075684,4700,1,0.30000000000000004,364605.0208129883,4700,1,0.30000000000000004,365249.67695617676,4700,1,0.30000000000000004,360114.4549713135,4700,1,0.30000000000000004,364947.5983276367,4700,1,0.30000000000000004,371449.46647644043,4700,1,0.30000000000000004,366023.6644439697,4700,1,0.30000000000000004,327134.0621185303,4700,1,0.30000000000000004,325153.1337585449,4700,1,0.30000000000000004,346408.7245941162,4700,1,0.30000000000000004,109322321.14572144,400,400,400,400,4686,400,400,400,400,4690,400,400,400,400,4690,400,400,400,400,400,400,4690,400,400,4.761904716491699,5,0,0,0,0,4.761904716491699,5,0,60.000003814697266,0,0,0,4.761904716491699,100,5,0,0,0,5,4.761904716491699,5,4.761904716491699,0,66480525312,2147479552,37329223680,0
199,1717978357202,995296.7129821777,4700,1,0.30000000000000004,332211.83280944824,4700,1,0.30000000000000004,566896.027633667,4700,1,0.30000000000000004,364605.0283508301,4700,1,0.30000000000000004,365249.686630249,4700,1,0.30000000000000004,360114.477142334,4700,1,0.30000000000000004,364947.61796569824,4700,1,0.30000000000000004,371450.6977996826,4700,1,0.30000000000000004,366023.67903137207,4700,1,0.30000000000000004,327134.0687408447,4700,1,0.30000000000000004,325153.13999938965,4700,1,0.30000000000000004,346409.6565246582,4700,1,0.30000000000000004,109322330.36138916,400,400,400,400,4686,400,400,400,400,4690,400,400,400,400,4690,400,400,400,400,400,400,4690,400,400,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37330587648,0
199,1717978357402,995296.7272491455,4700,1,0.30000000000000004,332212.03970336914,4700,1,0.30000000000000004,566896.035232544,4700,1,0.30000000000000004,364605.042678833,4700,1,0.30000000000000004,365249.6932373047,4700,1,0.30000000000000004,360114.50036621094,4700,1,0.30000000000000004,364947.6758880615,4700,1,0.30000000000000004,371452.2322998047,4700,1,0.30000000000000004,366023.6855621338,4700,1,0.30000000000000004,327134.0762023926,4700,1,0.30000000000000004,325153.1462097168,4700,1,0.30000000000000004,346410.5930175781,4700,1,0.30000000000000004,109322339.74179077,400,400,400,400,4686,400,400,400,400,4690,400,400,400,400,4690,400,400,400,400,400,400,4690,400,400,0,0,4.761904716491699,0,0,0,0,0,0,94.73684692382813,0,0,0,0,100,4.761904716491699,0,4.761904716491699,0,0,0,0,0,0,66480525312,2147479552,37333143552,0
199,1717978357602,995296.734588623,4700,1,0.30000000000000004,332212.2388153076,4700,1,0.30000000000000004,566896.0424957275,4700,1,0.30000000000000004,364605.04914855957,4700,1,0.30000000000000004,365249.69944763184,4700,1,0.30000000000000004,360114.5086669922,4700,1,0.30000000000000004,364947.6820220947,4700,1,0.30000000000000004,371453.9433288574,4700,1,0.30000000000000004,366023.69172668457,4700,1,0.30000000000000004,327134.0823059082,4700,1,0.30000000000000004,325153.1528930664,4700,1,0.30000000000000004,346411.5267486572,4700,1,0.30000000000000004,109322349.0704956,400,400,400,400,4686,400,400,400,400,4690,400,400,400,400,4690,400,400,400,400,400,400,4690,400,400,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,4.761904716491699,0,0,0,0,0,0,0,0,66480525312,2147479552,37336522752,0
199,1717978357802,995296.911605835,4700,1,0.3062499999999999,332212.4673614502,4700,1,0.3062499999999999,566896.072189331,4700,1,0.3062499999999999,364605.17317199707,4700,1,0.3062499999999999,365249.7996673584,4700,1,0.3062499999999999,360114.7604370117,4700,1,0.3062499999999999,364947.72300720215,4700,1,0.3062499999999999,371454.7053375244,4700,1,0.3062499999999999,366023.8759765625,4700,1,0.3062499999999999,327134.10235595703,4700,1,0.3062499999999999,325153.17695617676,4700,1,0.3062499999999999,346412.4621582031,4700,1,0.3062499999999999,109322358.53987122,400,400,400,400,4686,400,400,400,400,4690,400,400,400,400,4690,400,400,400,400,400,400,4690,400,400,0,5.263157844543457,0,0,10,0,0,0,0,50,0,0,4.761904716491699,0,100,0,0,15.789472579956055,0,0,15.000000953674316,0,0,0,66480525312,2147479552,37341351936,0
