Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717973907918,989189.699005127,4700,1,0.30000000000000004,329072.5705566406,4700,1,0.30000000000000004,562873.5627441406,4700,1,0.30000000000000004,361092.58642578125,4700,1,0.30000000000000004,362141.26989746094,4700,1,0.30000000000000004,356008.3070373535,4700,1,0.30000000000000004,361205.905960083,4700,1,0.30000000000000004,367820.6027832031,4700,1,0.30000000000000004,361471.9857788086,4700,1,0.30000000000000004,323903.98818969727,4700,1,0.30000000000000004,321831.9503479004,4700,1,0.30000000000000004,342741.79287719727,4700,1,0.30000000000000004,109130816.00198364,400,4689,400,4690,4690,400,400,4690,4689,400,400,400,400,400,400,400,400,400,400,4689,4690,4690,400,400,0,0,0,100,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37345222656,0
199,1717973907918,989189.7004547119,4700,1,0.30000000000000004,329072.57150268555,4700,1,0.30000000000000004,562873.572265625,4700,1,0.30000000000000004,361092.59674072266,4700,1,0.30000000000000004,362141.27252197266,4700,1,0.30000000000000004,356008.308303833,4700,1,0.30000000000000004,361205.90727233887,4700,1,0.30000000000000004,367820.6136932373,4700,1,0.30000000000000004,361471.98683166504,4700,1,0.30000000000000004,323903.989151001,4700,1,0.30000000000000004,321831.9512939453,4700,1,0.30000000000000004,342741.7944793701,4700,1,0.30000000000000004,109130816.09651184,400,4689,400,4690,4690,400,400,4690,4689,400,400,400,400,400,400,400,400,400,400,4689,4690,4690,400,400,0,0,0,100,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37348806656,0
199,1717973908118,989189.9199066162,4700,1,0.3062499999999999,329072.78454589844,4700,1,0.3062499999999999,562874.4775695801,4700,1,0.3062499999999999,361092.7902069092,4700,1,0.3062499999999999,362141.48669433594,4700,1,0.3062499999999999,356008.4822692871,4700,1,0.3062499999999999,361205.99838256836,4700,1,0.3062499999999999,367820.8176269531,4700,1,0.3062499999999999,361472.237411499,4700,1,0.3062499999999999,323904.149017334,4700,1,0.3062499999999999,321832.0757446289,4700,1,0.3062499999999999,342741.8789367676,4700,1,0.3062499999999999,109130825.02879333,400,4689,400,4690,4690,400,400,4690,4689,400,400,400,400,400,400,400,400,400,400,4689,4690,4690,400,400,5,0,10,94.73684692382813,9.090909004211426,5,10,0,0,5,5,0,5,0,4.761904716491699,4.761904716491699,4.761904716491699,0,0,9.090909004211426,9.523809432983398,9.523809432983398,4.761904716491699,0,66480525312,2147479552,37353238528,0
199,1717973908318,989190.245300293,4700,1,0.3062499999999999,329073.11114501953,4700,1,0.3125,562875.4669952393,4700,1,0.3125,361093.08308410645,4700,1,0.3062499999999999,362141.8573913574,4700,1,0.3062499999999999,356008.75733947754,4700,1,0.3062499999999999,361206.3034667969,4700,1,0.3062499999999999,367821.2197113037,4700,1,0.3062499999999999,361472.55757141113,4700,1,0.3062499999999999,323904.4686431885,4700,1,0.3125,321832.51069641113,4700,1,0.3125,342742.1865081787,4700,1,0.3125,109130835.7553711,400,4689,400,4690,4690,400,400,4690,4689,400,400,400,400,400,400,400,400,400,400,4689,4690,4690,400,400,5,5,10,100,10,5,15.000000953674316,10,5.263157844543457,5.263157844543457,9.523809432983398,10.526315689086914,5,22.72727394104004,14.285715103149414,10,10.526315689086914,0,10,11.111111640930176,15.000000953674316,10.526315689086914,10.526315689086914,10,66480525312,2147479552,37447057408,0
199,1717973908518,989190.3911132813,4700,1,0.30000000000000004,329073.3478240967,4700,1,0.30000000000000004,562876.4036254883,4700,1,0.30000000000000004,361093.21505737305,4700,1,0.30000000000000004,362142.0809173584,4700,1,0.30000000000000004,356008.93727111816,4700,1,0.30000000000000004,361206.51039123535,4700,1,0.30000000000000004,367821.31578063965,4700,1,0.30000000000000004,361472.6177520752,4700,1,0.30000000000000004,323904.5721435547,4700,1,0.30000000000000004,321832.7385406494,4700,1,0.30000000000000004,342742.32275390625,4700,1,0.30000000000000004,109130844.51960754,400,4689,400,4690,4690,400,400,4690,4689,400,400,400,400,400,400,400,400,400,400,4689,4690,4690,400,400,13.636363983154297,0,15.789472579956055,90.47618865966797,0,4.761904716491699,10,0,0,0,0,0,9.523809432983398,0,5,0,5.263157844543457,9.523809432983398,0,0,0,9.523809432983398,0,5,66480525312,2147479552,37448310784,0
199,1717973908719,989190.4563751221,4700,1,0.30000000000000004,329073.3659362793,4700,1,0.30000000000000004,562877.3415222168,4700,1,0.30000000000000004,361093.3020324707,4700,1,0.30000000000000004,362142.1578979492,4700,1,0.30000000000000004,356009.9613647461,4700,1,0.30000000000000004,361206.52432250977,4700,1,0.30000000000000004,367821.43406677246,4700,1,0.30000000000000004,361472.7137451172,4700,1,0.30000000000000004,323904.57975769043,4700,1,0.30000000000000004,321832.95010375977,4700,1,0.30000000000000004,342742.33142089844,4700,1,0.30000000000000004,109130853.59210205,400,4689,400,4690,4690,400,400,4690,4689,400,400,400,400,400,400,400,400,400,400,4689,4690,4690,400,400,0,4.545454502105713,0,0,4.761904716491699,0,0,9.523809432983398,0,0,0,0,0,4.761904716491699,0,0,100,83.33332824707031,5,0,0,0,0,0,66480525312,2147479552,37455937536,0
199,1717973908919,989190.4662475586,4700,1,0.30000000000000004,329073.43699645996,4700,1,0.30000000000000004,562878.2797088623,4700,1,0.30000000000000004,361093.35122680664,4700,1,0.30000000000000004,362142.2093811035,4700,1,0.30000000000000004,356011.07678222656,4700,1,0.30000000000000004,361206.55207824707,4700,1,0.30000000000000004,367821.44856262207,4700,1,0.30000000000000004,361472.72468566895,4700,1,0.30000000000000004,323904.5866394043,4700,1,0.30000000000000004,321833.06634521484,4700,1,0.30000000000000004,342742.3380432129,4700,1,0.30000000000000004,109130862.66915894,400,4689,400,4690,4690,400,400,4690,4689,400,400,400,400,400,400,400,400,400,400,4689,4690,4690,400,400,4.761904716491699,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,0,100,85,0,0,0,0,0,0,66480525312,2147479552,37463044096,0
199,1717973909119,989190.4734344482,4700,1,0.30000000000000004,329073.6267852783,4700,1,0.30000000000000004,562879.2127380371,4700,1,0.30000000000000004,361093.3952331543,4700,1,0.30000000000000004,362142.23806762695,4700,1,0.30000000000000004,356012.69245910645,4700,1,0.30000000000000004,361206.55825805664,4700,1,0.30000000000000004,367821.4549560547,4700,1,0.30000000000000004,361472.7381134033,4700,1,0.30000000000000004,323904.6011657715,4700,1,0.30000000000000004,321833.07276916504,4700,1,0.30000000000000004,342742.3515319824,4700,1,0.30000000000000004,109130872.10194397,400,4689,400,4690,4690,400,400,4690,4689,400,400,400,400,400,400,400,400,400,400,4689,4690,4690,400,400,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,100,100,0,0,4.761904716491699,0,0,0,66480525312,2147479552,37464358912,0
199,1717973909319,989190.4808197021,4700,1,0.30000000000000004,329073.81842041016,4700,1,0.30000000000000004,562880.1506500244,4700,1,0.30000000000000004,361093.41021728516,4700,1,0.30000000000000004,362142.2447052002,4700,1,0.30000000000000004,356014.32539367676,4700,1,0.30000000000000004,361206.56440734863,4700,1,0.30000000000000004,367821.46112060547,4700,1,0.30000000000000004,361472.7446746826,4700,1,0.30000000000000004,323904.60845947266,4700,1,0.30000000000000004,321833.0789642334,4700,1,0.30000000000000004,342742.3583831787,4700,1,0.30000000000000004,109130881.62107849,400,4689,400,4690,4690,400,400,4690,4689,400,400,400,400,400,400,400,400,400,400,4689,4690,4690,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,66480525312,2147479552,37468454912,0
199,1717973909519,989190.5155792236,4700,1,0.3062499999999999,329074.08880615234,4700,1,0.3062499999999999,562881.0848388672,4700,1,0.3062499999999999,361093.4711608887,4700,1,0.3062499999999999,362142.51025390625,4700,1,0.3062499999999999,356014.7815093994,4700,1,0.3062499999999999,361207.2085418701,4700,1,0.3062499999999999,367821.60287475586,4700,1,0.3062499999999999,361472.7966156006,4700,1,0.3062499999999999,323904.67739868164,4700,1,0.3062499999999999,321833.2429046631,4700,1,0.3062499999999999,342742.40603637695,4700,1,0.3062499999999999,109130891.31489563,400,4689,400,4690,4690,400,400,4690,4689,400,400,400,400,400,400,400,400,400,400,4689,4690,4690,400,400,0,0,0,0,0,4.761904716491699,21.052631378173828,0,28.571430206298828,0,0,0,0,5.263157844543457,0,5.263157844543457,100,40,15.000000953674316,5,0,0,0,0,66480525312,2147479552,37476831232,0
