Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717975398678,991524.8819732666,4700,1,0.30000000000000004,330156.02734375,4700,1,0.30000000000000004,564193.1533660889,4700,1,0.30000000000000004,362095.1593017578,4700,1,0.30000000000000004,363003.64714050293,4700,1,0.30000000000000004,357178.6502532959,4700,1,0.30000000000000004,362347.6234588623,4700,1,0.30000000000000004,368796.61979675293,4700,1,0.30000000000000004,363129.37229919434,4700,1,0.30000000000000004,325076.94749450684,4700,1,0.30000000000000004,322979.57525634766,4700,1,0.30000000000000004,344066.48153686523,4700,1,0.30000000000000004,109194777.70562744,400,400,400,400,400,400,4690,4689,4690,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,66480525312,2147479552,37182369792,0
199,1717975398678,991524.8919830322,4700,1,0.30000000000000004,330156.04164123535,4700,1,0.30000000000000004,564193.1551818848,4700,1,0.30000000000000004,362095.16038513184,4700,1,0.30000000000000004,363003.64920043945,4700,1,0.30000000000000004,357178.66107177734,4700,1,0.30000000000000004,362347.6244812012,4700,1,0.30000000000000004,368796.6225891113,4700,1,0.30000000000000004,363129.37313842773,4700,1,0.30000000000000004,325076.9482727051,4700,1,0.30000000000000004,322979.5760650635,4700,1,0.30000000000000004,344066.4833679199,4700,1,0.30000000000000004,109194777.85650635,400,400,400,400,400,400,4690,4689,4690,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,66480525312,2147479552,37185982464,0
199,1717975398878,991525.2780914307,4700,1,0.30000000000000004,330156.92304992676,4700,1,0.30000000000000004,564193.3813323975,4700,1,0.30000000000000004,362095.2861175537,4700,1,0.30000000000000004,363003.84452819824,4700,1,0.30000000000000004,357178.9127807617,4700,1,0.30000000000000004,362347.8841705322,4700,1,0.30000000000000004,368796.9002227783,4700,1,0.30000000000000004,363129.5428466797,4700,1,0.30000000000000004,325077.1109313965,4700,1,0.30000000000000004,322979.76818847656,4700,1,0.30000000000000004,344066.6781768799,4700,1,0.30000000000000004,109194787.18286133,400,400,400,400,400,400,4690,4689,4690,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,5,0,50,4.545454502105713,19.047618865966797,5,0,10.526315689086914,13.636363983154297,0,0,0,5,4.761904716491699,0,47.619049072265625,0,4.761904716491699,10,5.263157844543457,0,0,4.761904716491699,4.761904716491699,66480525312,2147479552,37194809344,0
199,1717975399078,991525.6705474854,4700,1,0.3062499999999999,330157.85401916504,4700,1,0.3062499999999999,564193.6979064941,4700,1,0.3062499999999999,362095.63984680176,4700,1,0.3062499999999999,363004.2702178955,4700,1,0.3062499999999999,357179.26274108887,4700,1,0.3062499999999999,362348.2554016113,4700,1,0.3062499999999999,368797.29849243164,4700,1,0.3062499999999999,363129.7769317627,4700,1,0.3062499999999999,325077.340423584,4700,1,0.3062499999999999,322980.04122924805,4700,1,0.3062499999999999,344066.91871643066,4700,1,0.3062499999999999,109194798.03775024,400,400,400,400,400,400,4690,4689,4690,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,18.18181800842285,20,95.23809814453125,14.285715103149414,5.263157844543457,4.761904716491699,15.000000953674316,5,5.263157844543457,10,10,5.263157844543457,15.000000953674316,10,0,5,10,10,15.000000953674316,19.047618865966797,9.523809432983398,5,5.263157844543457,0,66480525312,2147479552,37285560320,0
199,1717975399278,991525.8043060303,4700,1,0.30000000000000004,330158.796875,4700,1,0.3062499999999999,564193.9183349609,4700,1,0.3062499999999999,362095.75665283203,4700,1,0.30000000000000004,363004.4030609131,4700,1,0.30000000000000004,357179.4963989258,4700,1,0.30000000000000004,362348.3963623047,4700,1,0.30000000000000004,368797.595413208,4700,1,0.30000000000000004,363129.80030822754,4700,1,0.30000000000000004,325077.38313293457,4700,1,0.30000000000000004,322980.099899292,4700,1,0.30000000000000004,344067.05017089844,4700,1,0.3062499999999999,109194806.63635254,400,400,400,400,400,400,4690,4689,4690,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,0,5.263157844543457,100,0,5,0,0,15.000000953674316,0,9.090909004211426,0,4.761904716491699,9.523809432983398,0,0,0,0,0,5,20,0,0,0,4.761904716491699,66480525312,2147479552,37286305792,0
199,1717975399479,991525.9212799072,4700,1,0.30000000000000004,330159.7311553955,4700,1,0.30000000000000004,564194.0870513916,4700,1,0.30000000000000004,362095.8671569824,4700,1,0.30000000000000004,363004.51008605957,4700,1,0.30000000000000004,357180.5285797119,4700,1,0.30000000000000004,362348.4483642578,4700,1,0.30000000000000004,368797.67626953125,4700,1,0.30000000000000004,363129.80853271484,4700,1,0.30000000000000004,325077.42890930176,4700,1,0.30000000000000004,322980.11309814453,4700,1,0.30000000000000004,344067.0576324463,4700,1,0.30000000000000004,109194815.72862244,400,400,400,400,400,400,4690,4689,4690,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,0,0,36.842105865478516,0,5,0,0,0,0,0,0,0,0,0,0,61.904762268066406,0,84.21052551269531,0,0,0,0,0,0,66480525312,2147479552,37293916160,0
199,1717975399679,991525.9618377686,4700,1,0.30000000000000004,330160.67111206055,4700,1,0.30000000000000004,564194.211730957,4700,1,0.30000000000000004,362095.9018096924,4700,1,0.30000000000000004,363005.1509094238,4700,1,0.30000000000000004,357181.02616882324,4700,1,0.30000000000000004,362348.46968078613,4700,1,0.30000000000000004,368797.6877593994,4700,1,0.30000000000000004,363129.8153991699,4700,1,0.30000000000000004,325077.4930419922,4700,1,0.30000000000000004,322980.12045288086,4700,1,0.30000000000000004,344067.0650482178,4700,1,0.30000000000000004,109194824.82643127,400,400,400,400,400,400,4690,4689,4690,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,0,0,0,0,0,0,33.333335876464844,0,0,0,0,0,20,0,0,100,0,42.105262756347656,0,0,0,0,0,0,66480525312,2147479552,37295906816,0
199,1717975399879,991525.9863433838,4700,1,0.30000000000000004,330161.61044311523,4700,1,0.30000000000000004,564194.2242736816,4700,1,0.30000000000000004,362095.90870666504,4700,1,0.30000000000000004,363006.7837677002,4700,1,0.30000000000000004,357181.0323791504,4700,1,0.30000000000000004,362348.4829406738,4700,1,0.30000000000000004,368797.6944885254,4700,1,0.30000000000000004,363129.82160949707,4700,1,0.30000000000000004,325077.6823730469,4700,1,0.30000000000000004,322980.13304138184,4700,1,0.30000000000000004,344067.0721435547,4700,1,0.30000000000000004,109194834.24989319,400,400,400,400,400,400,4690,4689,4690,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,0,0,0,0,4.761904716491699,0,100,0,0,0,0,0,0,0,0,100,4.761904716491699,0,0,0,0,0,0,0,66480525312,2147479552,37297737728,0
199,1717975400079,991526.0068206787,4700,1,0.30000000000000004,330162.54431152344,4700,1,0.30000000000000004,564194.2307739258,4700,1,0.30000000000000004,362095.91485595703,4700,1,0.30000000000000004,363008.4260864258,4700,1,0.30000000000000004,357181.03857421875,4700,1,0.30000000000000004,362348.4893951416,4700,1,0.30000000000000004,368797.7006225586,4700,1,0.30000000000000004,363129.8277130127,4700,1,0.30000000000000004,325077.8678894043,4700,1,0.30000000000000004,322980.1401824951,4700,1,0.30000000000000004,344067.0785675049,4700,1,0.30000000000000004,109194843.70126343,400,400,400,400,400,400,4690,4689,4690,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,0,0,0,0,4.761904716491699,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,66480525312,2147479552,37301317632,0
199,1717975400279,991526.1098022461,4700,1,0.3062499999999999,330163.4812774658,4700,1,0.3062499999999999,564194.4602203369,4700,1,0.3062499999999999,362095.9806060791,4700,1,0.3062499999999999,363008.79205322266,4700,1,0.3062499999999999,357181.52920532227,4700,1,0.3062499999999999,362348.64839172363,4700,1,0.3062499999999999,368798.141708374,4700,1,0.3062499999999999,363129.8599395752,4700,1,0.3062499999999999,325078.075592041,4700,1,0.3062499999999999,322980.16957092285,4700,1,0.3062499999999999,344067.1097869873,4700,1,0.3062499999999999,109194853.28561401,400,400,400,400,400,400,4690,4689,4690,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,0,0,0,15.000000953674316,0,0,31.57894515991211,4.761904716491699,0,31.57894515991211,0,4.761904716491699,0,0,0,100,0,36.3636360168457,10,0,0,0,5,0,66480525312,2147479552,37311291392,0
