Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717976584865,993198.2012939453,4700,1,0.30000000000000004,331064.9507293701,4700,1,0.30000000000000004,565215.8143463135,4700,1,0.30000000000000004,363189.96560668945,4700,1,0.30000000000000004,363915.7573852539,4700,1,0.30000000000000004,358161.54010009766,4700,1,0.30000000000000004,363309.3106994629,4700,1,0.30000000000000004,369847.27281188965,4700,1,0.30000000000000004,364290.49241638184,4700,1,0.30000000000000004,325942.50019836426,4700,1,0.30000000000000004,323738.65545654297,4700,1,0.30000000000000004,344897.5962677002,4700,1,0.30000000000000004,109245717.86495972,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,4691,400,4,0,0,0,4.1666669845581055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,66480525312,2147479552,37244960768,0
199,1717976584866,993198.2113800049,4700,1,0.30000000000000004,331064.95149230957,4700,1,0.30000000000000004,565215.8160705566,4700,1,0.30000000000000004,363189.96675109863,4700,1,0.30000000000000004,363915.7680358887,4700,1,0.30000000000000004,358161.54164123535,4700,1,0.30000000000000004,363309.3119659424,4700,1,0.30000000000000004,369847.27433776855,4700,1,0.30000000000000004,364290.50177001953,4700,1,0.30000000000000004,325942.5025024414,4700,1,0.30000000000000004,323738.65644836426,4700,1,0.30000000000000004,344897.5970611572,4700,1,0.30000000000000004,109245717.96087646,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,4691,400,4,0,0,0,4.1666669845581055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,66480525312,2147479552,37248057344,0
199,1717976585066,993198.5918579102,4700,1,0.30000000000000004,331065.1698913574,4700,1,0.30000000000000004,565216.0450897217,4700,1,0.30000000000000004,363190.3325958252,4700,1,0.30000000000000004,363916.08027648926,4700,1,0.30000000000000004,358161.7951812744,4700,1,0.30000000000000004,363309.6034851074,4700,1,0.30000000000000004,369847.64836120605,4700,1,0.30000000000000004,364291.36180114746,4700,1,0.30000000000000004,325942.80126953125,4700,1,0.30000000000000004,323738.82119750977,4700,1,0.30000000000000004,344897.78201293945,4700,1,0.30000000000000004,109245727.83921814,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,4691,400,10,10.526315689086914,4.761904716491699,9.090909004211426,10,4.761904716491699,5,0,5.263157844543457,9.523809432983398,0,5,5.263157844543457,0,0,5,9.523809432983398,9.523809432983398,4.761904716491699,18.18181800842285,94.73684692382813,0,4.761904716491699,0,66480525312,2147479552,37262553088,0
199,1717976585266,993198.6995239258,4700,1,0.30000000000000004,331065.3780822754,4700,1,0.30000000000000004,565216.1384735107,4700,1,0.30000000000000004,363190.40129089355,4700,1,0.30000000000000004,363916.2077484131,4700,1,0.30000000000000004,358161.9032897949,4700,1,0.30000000000000004,363309.7102050781,4700,1,0.30000000000000004,369847.7632904053,4700,1,0.30000000000000004,364292.2967376709,4700,1,0.30000000000000004,325942.9154510498,4700,1,0.30000000000000004,323738.9528503418,4700,1,0.30000000000000004,344897.91471862793,4700,1,0.30000000000000004,109245736.53205872,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,4691,400,0,0,0,0,0,0,5,0,0,0,0,9.523809432983398,0,0,0,0,4.761904716491699,5,0,0,100,0,0,0,66480525312,2147479552,37263163392,0
199,1717976585466,993198.9265441895,4700,1,0.30000000000000004,331065.68493652344,4700,1,0.30000000000000004,565216.3716583252,4700,1,0.30000000000000004,363190.54524230957,4700,1,0.30000000000000004,363916.41117858887,4700,1,0.30000000000000004,358162.0871582031,4700,1,0.30000000000000004,363310.0869445801,4700,1,0.30000000000000004,369848.0747528076,4700,1,0.30000000000000004,364293.2363433838,4700,1,0.30000000000000004,325943.1552886963,4700,1,0.30000000000000004,323739.1552429199,4700,1,0.30000000000000004,344898.1209259033,4700,1,0.30000000000000004,109245746.41015625,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,4691,400,10,5,9.523809432983398,9.090909004211426,14.285715103149414,5,5,9.523809432983398,10,20,84.21052551269531,5.555555820465088,14.285715103149414,5,9.523809432983398,0,5.263157844543457,5,15.000000953674316,10,19.047618865966797,5,5,0,66480525312,2147479552,37364539392,0
199,1717976585666,993199.0080871582,4700,1,0.30000000000000004,331065.88801574707,4700,1,0.30000000000000004,565216.5627288818,4700,1,0.30000000000000004,363190.620223999,4700,1,0.30000000000000004,363916.57402038574,4700,1,0.30000000000000004,358162.24949645996,4700,1,0.30000000000000004,363310.3131866455,4700,1,0.30000000000000004,369848.43298339844,4700,1,0.30000000000000004,364294.16998291016,4700,1,0.30000000000000004,325943.31803894043,4700,1,0.30000000000000004,323739.23721313477,4700,1,0.30000000000000004,344898.1889190674,4700,1,0.30000000000000004,109245755.3438263,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,4691,400,4.761904716491699,0,5,0,5,5,0,0,5,18.18181800842285,80,4.761904716491699,0,0,0,4.761904716491699,4.761904716491699,0,0,9.523809432983398,20,0,5,0,66480525312,2147479552,37350486016,0
199,1717976585867,993199.0325927734,4700,1,0.30000000000000004,331066.0834503174,4700,1,0.30000000000000004,565216.56980896,4700,1,0.30000000000000004,363190.62815856934,4700,1,0.30000000000000004,363916.5817565918,4700,1,0.30000000000000004,358162.25804138184,4700,1,0.30000000000000004,363310.32722473145,4700,1,0.30000000000000004,369849.65629577637,4700,1,0.30000000000000004,364295.1038970947,4700,1,0.30000000000000004,325943.35777282715,4700,1,0.30000000000000004,323739.2441558838,4700,1,0.30000000000000004,344898.21031188965,4700,1,0.30000000000000004,109245764.43153381,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,4691,400,0,0,0,0,0,4.761904716491699,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,66480525312,2147479552,37356228608,0
199,1717976586067,993199.0524291992,4700,1,0.30000000000000004,331066.2964782715,4700,1,0.30000000000000004,565216.5986633301,4700,1,0.30000000000000004,363190.6558227539,4700,1,0.30000000000000004,363916.588760376,4700,1,0.30000000000000004,358162.26821899414,4700,1,0.30000000000000004,363310.34100341797,4700,1,0.30000000000000004,369850.8882446289,4700,1,0.30000000000000004,364296.03927612305,4700,1,0.30000000000000004,325943.42753601074,4700,1,0.30000000000000004,323739.25216674805,4700,1,0.30000000000000004,344898.21670532227,4700,1,0.30000000000000004,109245773.57849121,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,4691,400,0,0,0,5,4.761904716491699,0,0,4.761904716491699,0,90,0,0,0,0,0,0,5,0,0,0,100,0,4.761904716491699,0,66480525312,2147479552,37361098752,0
199,1717976586267,993199.0718841553,4700,1,0.30000000000000004,331066.4859008789,4700,1,0.30000000000000004,565216.6051330566,4700,1,0.30000000000000004,363190.66206359863,4700,1,0.30000000000000004,363916.59504699707,4700,1,0.30000000000000004,358162.2747039795,4700,1,0.30000000000000004,363310.3472442627,4700,1,0.30000000000000004,369852.6436767578,4700,1,0.30000000000000004,364296.969833374,4700,1,0.30000000000000004,325943.43461608887,4700,1,0.30000000000000004,323739.2587585449,4700,1,0.30000000000000004,344898.2230987549,4700,1,0.30000000000000004,109245782.94476318,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,4691,400,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,66480525312,2147479552,37362417664,0
199,1717976586467,993199.0935211182,4700,1,0.30000000000000004,331066.68043518066,4700,1,0.30000000000000004,565216.6116790771,4700,1,0.30000000000000004,363190.6682281494,4700,1,0.30000000000000004,363916.60119628906,4700,1,0.30000000000000004,358162.2815246582,4700,1,0.30000000000000004,363310.353515625,4700,1,0.30000000000000004,369854.13972473145,4700,1,0.30000000000000004,364297.9055175781,4700,1,0.30000000000000004,325943.44148254395,4700,1,0.30000000000000004,323739.26501464844,4700,1,0.30000000000000004,344898.22927856445,4700,1,0.30000000000000004,109245792.2512207,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,400,4691,400,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,66480525312,2147479552,37367955456,0
