Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717965961257,978368.123550415,4700,1,0.30000000000000004,322516.57527160645,4700,1,0.30000000000000004,556580.735244751,4700,1,0.30000000000000004,355110.5037384033,4700,1,0.30000000000000004,355964.02769470215,4700,1,0.30000000000000004,349751.8733215332,4700,1,0.30000000000000004,353174.8568572998,4700,1,0.30000000000000004,360298.6341705322,4700,1,0.30000000000000004,352778.69190979004,4700,1,0.30000000000000004,318250.45387268066,4700,1,0.30000000000000004,316447.4077911377,4700,1,0.30000000000000004,337199.6122894287,4700,1,0.30000000000000004,108788419.60565186,4688,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,6.6666669845581055,66480525312,2147479552,37318352896,0
199,1717965961257,978368.1255493164,4700,1,0.30000000000000004,322516.5760345459,4700,1,0.30000000000000004,556580.7360687256,4700,1,0.30000000000000004,355110.5048522949,4700,1,0.30000000000000004,355964.03758239746,4700,1,0.30000000000000004,349751.874420166,4700,1,0.30000000000000004,353174.8579406738,4700,1,0.30000000000000004,360298.6368865967,4700,1,0.30000000000000004,352778.69369506836,4700,1,0.30000000000000004,318250.4546661377,4700,1,0.30000000000000004,316447.41792297363,4700,1,0.30000000000000004,337199.62158203125,4700,1,0.30000000000000004,108788419.70098877,4688,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,6.6666669845581055,66480525312,2147479552,37321445376,0
199,1717965961458,978368.290512085,4700,1,0.30000000000000004,322516.71479797363,4700,1,0.30000000000000004,556580.8119506836,4700,1,0.30000000000000004,355110.60888671875,4700,1,0.30000000000000004,355964.99223327637,4700,1,0.30000000000000004,349751.98539733887,4700,1,0.30000000000000004,353175.0363769531,4700,1,0.30000000000000004,360298.913192749,4700,1,0.30000000000000004,352778.7859649658,4700,1,0.30000000000000004,318250.5695953369,4700,1,0.30000000000000004,316447.6803894043,4700,1,0.30000000000000004,337199.780166626,4700,1,0.30000000000000004,108788428.6525116,4688,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,400,400,400,400,400,400,4.761904716491699,0,0,4.761904716491699,0,0,4.761904716491699,0,0,4.761904716491699,4.761904716491699,9.090909004211426,95,10.526315689086914,9.523809432983398,0,0,0,10,0,0,0,5,0,66480525312,2147479552,37326528512,0
199,1717965961658,978368.3721466064,4700,1,0.30000000000000004,322516.7658996582,4700,1,0.30000000000000004,556580.8589324951,4700,1,0.30000000000000004,355110.83657836914,4700,1,0.30000000000000004,355965.98849487305,4700,1,0.30000000000000004,349752.02529907227,4700,1,0.30000000000000004,353175.08601379395,4700,1,0.30000000000000004,360298.9751586914,4700,1,0.30000000000000004,352778.8260498047,4700,1,0.30000000000000004,318250.6357574463,4700,1,0.30000000000000004,316447.74057006836,4700,1,0.30000000000000004,337199.85554504395,4700,1,0.30000000000000004,108788436.8381195,4688,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,400,400,400,400,400,400,5,4.761904716491699,0,0,9.523809432983398,4.761904716491699,0,4.761904716491699,0,0,0,0,100,0,0,0,0,0,0,0,4.761904716491699,0,5,4.761904716491699,66480525312,2147479552,37326848000,0
199,1717965961858,978368.3892364502,4700,1,0.30000000000000004,322516.77336120605,4700,1,0.30000000000000004,556580.8671569824,4700,1,0.30000000000000004,355111.0059967041,4700,1,0.30000000000000004,355966.97146606445,4700,1,0.30000000000000004,349752.03691101074,4700,1,0.30000000000000004,353175.0976867676,4700,1,0.30000000000000004,360299.0390625,4700,1,0.30000000000000004,352778.8331298828,4700,1,0.30000000000000004,318250.64237976074,4700,1,0.30000000000000004,316447.74952697754,4700,1,0.30000000000000004,337199.87673950195,4700,1,0.30000000000000004,108788444.74282837,4688,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37327917056,0
199,1717965962058,978368.4612426758,4700,1,0.30000000000000004,322516.7976837158,4700,1,0.30000000000000004,556580.8973236084,4700,1,0.30000000000000004,355111.0576019287,4700,1,0.30000000000000004,355967.94174194336,4700,1,0.30000000000000004,349752.0633544922,4700,1,0.30000000000000004,353175.1276702881,4700,1,0.30000000000000004,360299.277923584,4700,1,0.30000000000000004,352778.8579406738,4700,1,0.30000000000000004,318250.66131591797,4700,1,0.30000000000000004,316447.77459716797,4700,1,0.30000000000000004,337199.9242858887,4700,1,0.30000000000000004,108788452.88267517,4688,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,400,400,400,400,400,400,4.761904716491699,0,0,0,5.263157844543457,0,36.842105865478516,0,0,0,0,0,61.904762268066406,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37329940480,0
199,1717965962258,978368.6193237305,4700,1,0.30000000000000004,322516.91078186035,4700,1,0.30000000000000004,556581.0558776855,4700,1,0.30000000000000004,355111.2240753174,4700,1,0.30000000000000004,355968.90299987793,4700,1,0.30000000000000004,349752.134765625,4700,1,0.30000000000000004,353175.22856140137,4700,1,0.30000000000000004,360299.54345703125,4700,1,0.30000000000000004,352778.9341125488,4700,1,0.30000000000000004,318250.80882263184,4700,1,0.30000000000000004,316447.92878723145,4700,1,0.30000000000000004,337200.0463562012,4700,1,0.30000000000000004,108788461.79473877,4688,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,400,400,400,400,400,400,5,0,0,4.761904716491699,0,4.761904716491699,100,4.761904716491699,0,0,5,10,0,4.761904716491699,0,5,5,5,0,0,5,10,10,5,66480525312,2147479552,37334315008,0
199,1717965962458,978368.6301727295,4700,1,0.30000000000000004,322516.92205810547,4700,1,0.30000000000000004,556581.0646057129,4700,1,0.30000000000000004,355111.3144226074,4700,1,0.30000000000000004,355969.88789367676,4700,1,0.30000000000000004,349752.1456298828,4700,1,0.30000000000000004,353175.2416534424,4700,1,0.30000000000000004,360299.69662475586,4700,1,0.30000000000000004,352778.94091796875,4700,1,0.30000000000000004,318250.81579589844,4700,1,0.30000000000000004,316447.9353790283,4700,1,0.30000000000000004,337200.06785583496,4700,1,0.30000000000000004,108788469.73937988,4688,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,400,400,400,400,400,400,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,66480525312,2147479552,37329182720,0
199,1717965962658,978368.6381225586,4700,1,0.30000000000000004,322516.93336486816,4700,1,0.30000000000000004,556581.0718231201,4700,1,0.30000000000000004,355111.54083251953,4700,1,0.30000000000000004,355970.8792114258,4700,1,0.30000000000000004,349752.1553955078,4700,1,0.30000000000000004,353175.2514953613,4700,1,0.30000000000000004,360299.70822143555,4700,1,0.30000000000000004,352778.9476470947,4700,1,0.30000000000000004,318250.8222503662,4700,1,0.30000000000000004,316447.9422607422,4700,1,0.30000000000000004,337200.0827636719,4700,1,0.30000000000000004,108788477.56611633,4688,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,400,400,400,400,400,400,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37329182720,0
199,1717965962858,978368.7981567383,4700,1,0.30000000000000004,322517.07263183594,4700,1,0.30000000000000004,556581.183303833,4700,1,0.30000000000000004,355111.8447570801,4700,1,0.30000000000000004,355971.87240600586,4700,1,0.30000000000000004,349752.29039001465,4700,1,0.30000000000000004,353175.3709411621,4700,1,0.30000000000000004,360299.85919189453,4700,1,0.30000000000000004,352779.08277893066,4700,1,0.30000000000000004,318250.9676208496,4700,1,0.30000000000000004,316448.07292175293,4700,1,0.30000000000000004,337200.247177124,4700,1,0.30000000000000004,108788486.70057678,4688,400,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,400,400,400,400,400,400,400,5,5,9.090909004211426,0,5,13.636363983154297,95.23809814453125,5.263157844543457,4.761904716491699,5,5,5,0,5,5,5.555555820465088,5,0,0,0,0,5.263157844543457,9.523809432983398,14.285715103149414,66480525312,2147479552,37411459072,0
