Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717974974689,990939.7833557129,4700,1,0.30000000000000004,329890.86779785156,4700,1,0.30000000000000004,563868.7802886963,4700,1,0.30000000000000004,361757.71463012695,4700,1,0.30000000000000004,362742.4391784668,4700,1,0.30000000000000004,356962.1488952637,4700,1,0.30000000000000004,362028.83952331543,4700,1,0.30000000000000004,368492.4943847656,4700,1,0.30000000000000004,362689.1159057617,4700,1,0.30000000000000004,324769.20123291016,4700,1,0.30000000000000004,322529.4567871094,4700,1,0.30000000000000004,343575.0078430176,4700,1,0.30000000000000004,109176711.77056885,400,400,400,4687,400,400,4690,400,400,400,400,4690,4689,400,400,4690,400,4690,400,400,400,400,400,400,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,100,0,4.545454502105713,0,0,0,0,0,0,66480525312,2147479552,37197332480,0
199,1717974974690,990939.7849884033,4700,1,0.30000000000000004,329890.87728881836,4700,1,0.30000000000000004,563868.7898864746,4700,1,0.30000000000000004,361757.71600341797,4700,1,0.30000000000000004,362742.4499053955,4700,1,0.30000000000000004,356962.1504211426,4700,1,0.30000000000000004,362028.8408355713,4700,1,0.30000000000000004,368492.4958496094,4700,1,0.30000000000000004,362689.11698913574,4700,1,0.30000000000000004,324769.2023925781,4700,1,0.30000000000000004,322529.45832824707,4700,1,0.30000000000000004,343575.00885009766,4700,1,0.30000000000000004,109176711.8725586,400,400,400,4687,400,400,4690,400,400,400,400,4690,4689,400,400,4690,400,4690,400,400,400,400,400,400,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,100,0,4.545454502105713,0,0,0,0,0,0,66480525312,2147479552,37197332480,0
199,1717974974890,990940.0868225098,4700,1,0.30000000000000004,329891.1427307129,4700,1,0.30000000000000004,563868.9514923096,4700,1,0.30000000000000004,361757.99588012695,4700,1,0.30000000000000004,362742.6396484375,4700,1,0.30000000000000004,356962.3539276123,4700,1,0.30000000000000004,362029.11419677734,4700,1,0.30000000000000004,368492.76277160645,4700,1,0.30000000000000004,362689.3146209717,4700,1,0.30000000000000004,324769.9563293457,4700,1,0.30000000000000004,322529.6626281738,4700,1,0.30000000000000004,343575.1447906494,4700,1,0.30000000000000004,109176721.21636963,400,400,400,4687,400,400,4690,400,400,400,400,4690,4689,400,400,4690,400,4690,400,400,400,400,400,400,4.761904716491699,14.285715103149414,5,4.761904716491699,19.047618865966797,9.523809432983398,0,4.761904716491699,5,9.523809432983398,0,0,0,4.761904716491699,4.761904716491699,15.789472579956055,5,5,0,5,5.263157844543457,76.19047546386719,4.761904716491699,4.761904716491699,66480525312,2147479552,37208244224,0
199,1717974975090,990940.1678466797,4700,1,0.30000000000000004,329891.15284729004,4700,1,0.30000000000000004,563869.0846405029,4700,1,0.30000000000000004,361758.0105743408,4700,1,0.30000000000000004,362742.65325927734,4700,1,0.30000000000000004,356962.4053039551,4700,1,0.30000000000000004,362029.1566314697,4700,1,0.30000000000000004,368492.77546691895,4700,1,0.30000000000000004,362689.345993042,4700,1,0.30000000000000004,324770.8614807129,4700,1,0.30000000000000004,322529.87379455566,4700,1,0.30000000000000004,343575.17878723145,4700,1,0.30000000000000004,109176729.2217102,400,400,400,4687,400,400,4690,400,400,400,400,4690,4689,400,400,4690,400,4690,400,400,400,400,400,400,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157844543457,4.761904716491699,0,0,95,0,0,66480525312,2147479552,37209153536,0
199,1717974975290,990940.5187835693,4700,1,0.30000000000000004,329891.40461730957,4700,1,0.30000000000000004,563869.2780761719,4700,1,0.30000000000000004,361758.4100036621,4700,1,0.30000000000000004,362742.8833465576,4700,1,0.30000000000000004,356962.6933288574,4700,1,0.30000000000000004,362029.4779815674,4700,1,0.30000000000000004,368493.22215270996,4700,1,0.30000000000000004,362689.6512451172,4700,1,0.30000000000000004,324771.8166809082,4700,1,0.30000000000000004,322530.1488647461,4700,1,0.30000000000000004,343575.4387817383,4700,1,0.30000000000000004,109176739.4998169,400,400,400,4687,400,400,4690,400,400,400,400,4690,4689,400,400,4690,400,4690,400,400,400,400,400,400,15.000000953674316,11.111111640930176,9.523809432983398,5.263157844543457,5.263157844543457,10.526315689086914,5,5,15.000000953674316,23.809524536132813,5,5,0,5,5,10,0,0,10,5.263157844543457,15.789472579956055,100,14.285715103149414,10,66480525312,2147479552,37317324800,0
199,1717974975490,990940.6945495605,4700,1,0.30000000000000004,329891.60090637207,4700,1,0.30000000000000004,563869.3829193115,4700,1,0.30000000000000004,361758.46200561523,4700,1,0.30000000000000004,362743.07971191406,4700,1,0.30000000000000004,356962.8977355957,4700,1,0.30000000000000004,362029.7357330322,4700,1,0.30000000000000004,368493.56658935547,4700,1,0.30000000000000004,362689.7611694336,4700,1,0.30000000000000004,324772.75018310547,4700,1,0.30000000000000004,322530.2206878662,4700,1,0.30000000000000004,343575.47830200195,4700,1,0.30000000000000004,109176748.27626038,400,400,400,4687,400,400,4690,400,400,400,400,4690,4689,400,400,4690,400,4690,400,400,400,400,400,400,5,9.090909004211426,5,0,5,0,0,4.761904716491699,0,25,0,0,0,0,0,0,0,0,10,0,0,100,0,0,66480525312,2147479552,37311791104,0
199,1717974975690,990940.712387085,4700,1,0.30000000000000004,329891.6079711914,4700,1,0.30000000000000004,563869.4041900635,4700,1,0.30000000000000004,361758.4695739746,4700,1,0.30000000000000004,362743.10415649414,4700,1,0.30000000000000004,356962.96461486816,4700,1,0.30000000000000004,362030.9245452881,4700,1,0.30000000000000004,368493.574508667,4700,1,0.30000000000000004,362689.78157043457,4700,1,0.30000000000000004,324773.6790008545,4700,1,0.30000000000000004,322530.41583251953,4700,1,0.30000000000000004,343575.48513793945,4700,1,0.30000000000000004,109176757.26191711,400,400,400,4687,400,400,4690,400,400,400,400,4690,4689,400,400,4690,400,4690,400,400,400,400,400,400,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,100,0,0,66480525312,2147479552,37318291456,0
199,1717974975890,990940.7348632813,4700,1,0.30000000000000004,329891.7265777588,4700,1,0.30000000000000004,563869.4267730713,4700,1,0.30000000000000004,361758.47816467285,4700,1,0.30000000000000004,362743.1124572754,4700,1,0.30000000000000004,356962.9815826416,4700,1,0.30000000000000004,362031.21043395996,4700,1,0.30000000000000004,368494.60333251953,4700,1,0.30000000000000004,362689.78804016113,4700,1,0.30000000000000004,324774.61849975586,4700,1,0.30000000000000004,322530.49853515625,4700,1,0.30000000000000004,343575.49223327637,4700,1,0.30000000000000004,109176766.23320007,400,400,400,4687,400,400,4690,400,400,400,400,4690,4689,400,400,4690,400,4690,400,400,400,400,400,400,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.000000953674316,71.42857360839844,0,100,0,4.761904716491699,66480525312,2147479552,37323497472,0
199,1717974976090,990940.7424163818,4700,1,0.30000000000000004,329891.9152832031,4700,1,0.30000000000000004,563869.4501800537,4700,1,0.30000000000000004,361758.48503112793,4700,1,0.30000000000000004,362743.11865234375,4700,1,0.30000000000000004,356962.9877624512,4700,1,0.30000000000000004,362031.21675109863,4700,1,0.30000000000000004,368496.34271240234,4700,1,0.30000000000000004,362689.79431152344,4700,1,0.30000000000000004,324775.55168151855,4700,1,0.30000000000000004,322530.5047454834,4700,1,0.30000000000000004,343575.50064086914,4700,1,0.30000000000000004,109176775.64509583,400,400,400,4687,400,400,4690,400,400,400,400,4690,4689,400,400,4690,400,4690,400,400,400,400,400,400,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,66480525312,2147479552,37324918784,0
199,1717974976290,990940.7488555908,4700,1,0.30000000000000004,329892.10762023926,4700,1,0.30000000000000004,563869.4716186523,4700,1,0.30000000000000004,361758.49153137207,4700,1,0.30000000000000004,362743.1248321533,4700,1,0.30000000000000004,356962.9970703125,4700,1,0.30000000000000004,362031.2232513428,4700,1,0.30000000000000004,368497.8207397461,4700,1,0.30000000000000004,362689.8005065918,4700,1,0.30000000000000004,324776.47761535645,4700,1,0.30000000000000004,322530.5121002197,4700,1,0.30000000000000004,343575.5068664551,4700,1,0.30000000000000004,109176784.95126343,400,400,400,4687,400,400,4690,400,400,400,400,4690,4689,400,400,4690,400,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,66480525312,2147479552,37329838080,0
