Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717970890685,985303.4481964111,4700,1,0.30000000000000004,326370.2183532715,4700,1,0.30000000000000004,560757.1603240967,4700,1,0.30000000000000004,358840.92010498047,4700,1,0.30000000000000004,360050.3218383789,4700,1,0.30000000000000004,353589.95446777344,4700,1,0.30000000000000004,358105.48600769043,4700,1,0.30000000000000004,365025.8168182373,4700,1,0.30000000000000004,357949.301651001,4700,1,0.30000000000000004,322144.84368896484,4700,1,0.30000000000000004,319567.091217041,4700,1,0.30000000000000004,340633.9292297363,4700,1,0.30000000000000004,109001118.77656555,400,400,400,400,4689,4690,4690,400,400,400,400,400,400,400,4687,400,400,400,400,400,400,400,4690,4690,0,3.7037036418914795,0,0,0,0,3.5714287757873535,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,66480525312,2147479552,37212901376,0
199,1717970890686,985303.4501800537,4700,1,0.30000000000000004,326370.2194671631,4700,1,0.30000000000000004,560757.1614990234,4700,1,0.30000000000000004,358840.93031311035,4700,1,0.30000000000000004,360050.32345581055,4700,1,0.30000000000000004,353589.955657959,4700,1,0.30000000000000004,358105.48806762695,4700,1,0.30000000000000004,365025.827835083,4700,1,0.30000000000000004,357949.30265808105,4700,1,0.30000000000000004,322144.84603881836,4700,1,0.30000000000000004,319567.0920715332,4700,1,0.30000000000000004,340633.9385070801,4700,1,0.30000000000000004,109001118.87071228,400,400,400,400,4689,4690,4690,400,400,400,400,400,400,400,4687,400,400,400,400,400,400,400,4690,4690,0,3.7037036418914795,0,0,0,0,3.5714287757873535,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,66480525312,2147479552,37214965760,0
199,1717970890886,985303.6991729736,4700,1,0.30000000000000004,326370.4523162842,4700,1,0.30000000000000004,560757.3477630615,4700,1,0.30000000000000004,358841.20721435547,4700,1,0.30000000000000004,360050.766204834,4700,1,0.30000000000000004,353590.1674346924,4700,1,0.30000000000000004,358105.69818115234,4700,1,0.30000000000000004,365026.16427612305,4700,1,0.30000000000000004,357949.53202819824,4700,1,0.30000000000000004,322145.0955657959,4700,1,0.30000000000000004,319567.2650299072,4700,1,0.30000000000000004,340634.8113708496,4700,1,0.30000000000000004,109001128.49467468,400,400,400,400,4689,4690,4690,400,400,400,400,400,400,400,4687,400,400,400,400,400,400,400,4690,4690,9.523809432983398,5,4.761904716491699,4.761904716491699,0,5,9.523809432983398,0,0,9.090909004211426,0,9.523809432983398,23.809524536132813,0,4.761904716491699,0,0,4.761904716491699,0,10,0,5,0,90,66480525312,2147479552,37226393600,0
199,1717970891086,985304.0984191895,4700,1,0.3062499999999999,326370.79470825195,4700,1,0.30000000000000004,560757.5558624268,4700,1,0.30000000000000004,358841.495010376,4700,1,0.3062499999999999,360051.18452453613,4700,1,0.3062499999999999,353590.4083709717,4700,1,0.3062499999999999,358105.9526977539,4700,1,0.3062499999999999,365026.52784729004,4700,1,0.3062499999999999,357949.7868041992,4700,1,0.30000000000000004,322145.40632629395,4700,1,0.30000000000000004,319567.4984283447,4700,1,0.30000000000000004,340635.7678527832,4700,1,0.30000000000000004,109001139.03588867,400,400,400,400,4689,4690,4690,400,400,400,400,400,400,400,4687,400,400,400,400,400,400,400,4690,4690,22.72727394104004,10,5.263157844543457,10,5.263157844543457,15.000000953674316,5.555555820465088,9.523809432983398,10,5.263157844543457,5.263157844543457,20,15.789472579956055,5,5,5.263157844543457,0,14.285715103149414,5.263157844543457,10.526315689086914,10,10,5.263157844543457,100,66480525312,2147479552,37322125312,0
199,1717970891286,985304.2296905518,4700,1,0.30000000000000004,326370.99504089355,4700,1,0.30000000000000004,560757.6637878418,4700,1,0.30000000000000004,358841.6152038574,4700,1,0.30000000000000004,360051.3235321045,4700,1,0.30000000000000004,353590.5388031006,4700,1,0.30000000000000004,358106.0872192383,4700,1,0.30000000000000004,365026.8116912842,4700,1,0.30000000000000004,357949.90769958496,4700,1,0.30000000000000004,322145.5538330078,4700,1,0.30000000000000004,319567.59648132324,4700,1,0.30000000000000004,340636.6988067627,4700,1,0.30000000000000004,109001147.74647522,400,400,400,400,4689,4690,4690,400,400,400,400,400,400,400,4687,400,400,400,400,400,400,400,4690,4690,5,0,5,0,5,4.761904716491699,0,0,0,4.761904716491699,0,10.526315689086914,10,0,75,0,0,0,13.636363983154297,10.526315689086914,0,0,0,21.052631378173828,66480525312,2147479552,37327114240,0
199,1717970891486,985305.3296051025,4700,1,0.30000000000000004,326371.07455444336,4700,1,0.30000000000000004,560757.6718139648,4700,1,0.30000000000000004,358841.64587402344,4700,1,0.30000000000000004,360051.3487701416,4700,1,0.30000000000000004,353590.5481567383,4700,1,0.30000000000000004,358106.12939453125,4700,1,0.30000000000000004,365026.86418151855,4700,1,0.30000000000000004,357949.91635131836,4700,1,0.30000000000000004,322145.5610046387,4700,1,0.30000000000000004,319567.78715515137,4700,1,0.30000000000000004,340637.63385009766,4700,1,0.30000000000000004,109001156.3644104,400,400,400,400,4689,4690,4690,400,400,400,400,400,400,400,4687,400,400,400,400,400,400,400,4690,4690,0,5,4.761904716491699,0,80,0,0,0,0,0,0,0,4.761904716491699,0,100,0,0,0,0,5,0,0,0,0,66480525312,2147479552,37333524480,0
199,1717970891686,985306.4228363037,4700,1,0.30000000000000004,326371.21604919434,4700,1,0.30000000000000004,560757.6822509766,4700,1,0.30000000000000004,358841.6686859131,4700,1,0.30000000000000004,360051.3680114746,4700,1,0.30000000000000004,353590.5555267334,4700,1,0.30000000000000004,358106.13653564453,4700,1,0.30000000000000004,365026.8743133545,4700,1,0.30000000000000004,357949.9277648926,4700,1,0.30000000000000004,322145.57078552246,4700,1,0.30000000000000004,319567.89555358887,4700,1,0.30000000000000004,340638.5673828125,4700,1,0.30000000000000004,109001165.29690552,400,400,400,400,4689,4690,4690,400,400,400,400,400,400,400,4687,400,400,400,400,400,400,400,4690,4690,0,4.761904716491699,0,0,95.23809814453125,0,0,0,0,0,0,0,0,0,15.000000953674316,0,0,0,0,0,0,0,0,85.71428680419922,66480525312,2147479552,37340041216,0
199,1717970891886,985308.0986022949,4700,1,0.30000000000000004,326371.4080505371,4700,1,0.30000000000000004,560757.6895446777,4700,1,0.30000000000000004,358841.6871948242,4700,1,0.30000000000000004,360051.3741912842,4700,1,0.30000000000000004,353590.57122802734,4700,1,0.30000000000000004,358106.1499481201,4700,1,0.30000000000000004,365026.8871307373,4700,1,0.30000000000000004,357949.9338989258,4700,1,0.30000000000000004,322145.5792541504,4700,1,0.30000000000000004,319567.90168762207,4700,1,0.30000000000000004,340639.49615478516,4700,1,0.30000000000000004,109001174.54281616,400,400,400,400,4689,4690,4690,400,400,400,400,400,400,400,4687,400,400,400,400,400,400,400,4690,4690,0,0,0,0,100,0,0,5,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,66480525312,2147479552,37341356032,0
199,1717970892087,985309.693069458,4700,1,0.30000000000000004,326371.60078430176,4700,1,0.30000000000000004,560757.6968994141,4700,1,0.30000000000000004,358841.7079925537,4700,1,0.30000000000000004,360051.38304138184,4700,1,0.30000000000000004,353590.5775299072,4700,1,0.30000000000000004,358106.15689086914,4700,1,0.30000000000000004,365026.8944091797,4700,1,0.30000000000000004,357949.9408874512,4700,1,0.30000000000000004,322145.5853881836,4700,1,0.30000000000000004,319567.9083251953,4700,1,0.30000000000000004,340640.4301147461,4700,1,0.30000000000000004,109001183.65394592,400,400,400,400,4689,4690,4690,400,400,400,400,400,400,400,4687,400,400,400,400,400,400,400,4690,4690,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,66480525312,2147479552,37345689600,0
199,1717970892287,985309.9933319092,4700,1,0.3062499999999999,326371.8769378662,4700,1,0.3062499999999999,560758.0747680664,4700,1,0.3062499999999999,358842.24839782715,4700,1,0.3062499999999999,360051.6546783447,4700,1,0.3062499999999999,353590.6800842285,4700,1,0.3062499999999999,358106.24978637695,4700,1,0.3062499999999999,365026.965423584,4700,1,0.3062499999999999,357949.9726409912,4700,1,0.3062499999999999,322145.6146850586,4700,1,0.3062499999999999,319568.17378234863,4700,1,0.3062499999999999,340641.3646392822,4700,1,0.3062499999999999,109001193.3062439,400,400,400,400,4689,4690,4690,400,400,400,400,400,400,400,4687,400,400,400,400,400,400,400,4690,4690,0,14.285715103149414,14.285715103149414,25,21.052631378173828,35,0,9.523809432983398,0,0,0,0,15.000000953674316,10,0,4.761904716491699,0,0,0,0,0,0,0,100,66480525312,2147479552,37354639360,0
