Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717968214933,981572.5198822021,4700,1,0.30000000000000004,324308.10705566406,4700,1,0.30000000000000004,558635.0534820557,4700,1,0.30000000000000004,357104.8090209961,4700,1,0.30000000000000004,357704.6307373047,4700,1,0.30000000000000004,351434.94256591797,4700,1,0.30000000000000004,355351.54846191406,4700,1,0.30000000000000004,362436.03326416016,4700,1,0.30000000000000004,355065.6039581299,4700,1,0.30000000000000004,319796.0776672363,4700,1,0.30000000000000004,317912.62396240234,4700,1,0.30000000000000004,338887.14921569824,4700,1,0.30000000000000004,108885767.00627136,400,400,400,400,400,400,400,4690,400,400,400,400,400,4689,4690,400,400,400,4690,400,400,400,400,400,0,0,0,0,0,0,0,0,4.1666669845581055,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37326880768,0
199,1717968214934,981572.5217437744,4700,1,0.30000000000000004,324308.10873413086,4700,1,0.30000000000000004,558635.0551452637,4700,1,0.30000000000000004,357104.81088256836,4700,1,0.30000000000000004,357704.6416320801,4700,1,0.30000000000000004,351434.94441223145,4700,1,0.30000000000000004,355351.5587005615,4700,1,0.30000000000000004,362436.0353088379,4700,1,0.30000000000000004,355065.6055908203,4700,1,0.30000000000000004,319796.0793609619,4700,1,0.30000000000000004,317912.62593078613,4700,1,0.30000000000000004,338887.1587524414,4700,1,0.30000000000000004,108885767.11027527,400,400,400,400,400,400,400,4690,400,400,400,400,400,4689,4690,400,400,400,4690,400,400,400,400,400,0,0,0,0,0,0,0,0,4.1666669845581055,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37328945152,0
199,1717968215134,981572.7101287842,4700,1,0.30000000000000004,324308.2763977051,4700,1,0.30000000000000004,558635.1913452148,4700,1,0.30000000000000004,357105.049407959,4700,1,0.30000000000000004,357704.8417816162,4700,1,0.30000000000000004,351435.1137390137,4700,1,0.30000000000000004,355351.83882141113,4700,1,0.30000000000000004,362436.25315856934,4700,1,0.30000000000000004,355065.7564239502,4700,1,0.30000000000000004,319796.1827697754,4700,1,0.30000000000000004,317912.90940856934,4700,1,0.30000000000000004,338888.0565032959,4700,1,0.30000000000000004,108885776.28889465,400,400,400,400,400,400,400,4690,400,400,400,400,400,4689,4690,400,400,400,4690,400,400,400,400,400,0,0,4.761904716491699,0,5.263157844543457,0,0,0,15.000000953674316,5,9.523809432983398,0,5,5,15.789472579956055,0,9.090909004211426,0,4.761904716491699,5,0,0,0,78.94737243652344,66480525312,2147479552,37339873280,0
199,1717968215334,981572.9234161377,4700,1,0.3062499999999999,324308.35417175293,4700,1,0.3062499999999999,558635.3170471191,4700,1,0.3062499999999999,357105.29292297363,4700,1,0.3062499999999999,357705.1141357422,4700,1,0.3062499999999999,351435.31901550293,4700,1,0.3062499999999999,355351.930267334,4700,1,0.3062499999999999,362436.4083099365,4700,1,0.3062499999999999,355065.8728942871,4700,1,0.3062499999999999,319796.2529144287,4700,1,0.3062499999999999,317913.0282897949,4700,1,0.3062499999999999,338888.94607543945,4700,1,0.3062499999999999,108885785.02745056,400,400,400,400,400,400,400,4690,400,400,400,400,400,4689,4690,400,400,400,4690,400,400,400,400,400,0,5.263157844543457,0,5,4.761904716491699,0,0,0,0,5,0,0,10.526315689086914,5.263157844543457,0,0,0,5,0,4.761904716491699,0,0,9.523809432983398,95.23809814453125,66480525312,2147479552,37342945280,0
199,1717968215534,981573.1702423096,4700,1,0.30000000000000004,324308.5230255127,4700,1,0.30000000000000004,558635.4904785156,4700,1,0.30000000000000004,357105.5505065918,4700,1,0.30000000000000004,357705.453414917,4700,1,0.30000000000000004,351435.57441711426,4700,1,0.30000000000000004,355352.1350708008,4700,1,0.30000000000000004,362436.6737060547,4700,1,0.30000000000000004,355066.0424346924,4700,1,0.30000000000000004,319796.4508972168,4700,1,0.30000000000000004,317913.21795654297,4700,1,0.30000000000000004,338889.8814544678,4700,1,0.30000000000000004,108885794.66204834,400,400,400,400,400,400,400,4690,400,400,400,400,400,4689,4690,400,400,400,4690,400,400,400,400,400,9.523809432983398,9.523809432983398,4.761904716491699,0,14.285715103149414,5,10,0,5,5.263157844543457,10,0,5,13.636363983154297,0,5,10,5,9.523809432983398,5,0,10,0,100,66480525312,2147479552,37436006400,0
199,1717968215734,981573.484588623,4700,1,0.30000000000000004,324309.29623413086,4700,1,0.30000000000000004,558635.6230010986,4700,1,0.30000000000000004,357105.6961669922,4700,1,0.30000000000000004,357705.5447998047,4700,1,0.30000000000000004,351435.6873321533,4700,1,0.30000000000000004,355352.2925109863,4700,1,0.30000000000000004,362436.80305480957,4700,1,0.30000000000000004,355066.3330230713,4700,1,0.30000000000000004,319796.50398254395,4700,1,0.30000000000000004,317913.3495941162,4700,1,0.30000000000000004,338890.17781066895,4700,1,0.30000000000000004,108885803.25523376,400,400,400,400,400,400,400,4690,400,400,400,400,400,4689,4690,400,400,400,4690,400,400,400,400,400,15.000000953674316,4.761904716491699,78.94737243652344,0,10,0,4.761904716491699,0,5,4.761904716491699,5,0,0,10,0,0,0,0,4.761904716491699,0,10,0,0,21.052631378173828,66480525312,2147479552,37443747840,0
199,1717968215934,981573.5959014893,4700,1,0.30000000000000004,324310.23721313477,4700,1,0.30000000000000004,558635.6504821777,4700,1,0.30000000000000004,357105.80548095703,4700,1,0.30000000000000004,357705.69828796387,4700,1,0.30000000000000004,351435.75872802734,4700,1,0.30000000000000004,355353.1753540039,4700,1,0.30000000000000004,362436.912689209,4700,1,0.30000000000000004,355066.56787109375,4700,1,0.30000000000000004,319796.529876709,4700,1,0.30000000000000004,317913.3663787842,4700,1,0.30000000000000004,338890.19494628906,4700,1,0.30000000000000004,108885812.36442566,400,400,400,400,400,400,400,4690,400,400,400,400,400,4689,4690,400,400,400,4690,400,400,400,400,400,5,5,100,0,0,5,0,0,15.789472579956055,0,0,0,0,0,0,0,0,0,50,0,5,0,0,0,66480525312,2147479552,37450608640,0
199,1717968216134,981573.604385376,4700,1,0.30000000000000004,324311.177734375,4700,1,0.30000000000000004,558635.698348999,4700,1,0.30000000000000004,357105.8126678467,4700,1,0.30000000000000004,357705.73263549805,4700,1,0.30000000000000004,351435.826171875,4700,1,0.30000000000000004,355354.3170013428,4700,1,0.30000000000000004,362436.93856811523,4700,1,0.30000000000000004,355066.76251220703,4700,1,0.30000000000000004,319796.54231262207,4700,1,0.30000000000000004,317913.37840270996,4700,1,0.30000000000000004,338890.20179748535,4700,1,0.30000000000000004,108885821.4944458,400,400,400,400,400,400,400,4690,400,400,400,400,400,4689,4690,400,400,400,4690,400,400,400,400,400,0,0,100,0,0,0,0,0,89.47368621826172,0,0,4.761904716491699,0,0,0,4.761904716491699,5,9.523809432983398,4.761904716491699,0,0,0,0,0,66480525312,2147479552,37456097280,0
199,1717968216334,981573.6122741699,4700,1,0.30000000000000004,324312.1127624512,4700,1,0.30000000000000004,558635.7052612305,4700,1,0.30000000000000004,357105.8188781738,4700,1,0.30000000000000004,357705.78060913086,4700,1,0.30000000000000004,351435.83361816406,4700,1,0.30000000000000004,355355.8752746582,4700,1,0.30000000000000004,362436.9451751709,4700,1,0.30000000000000004,355066.9544830322,4700,1,0.30000000000000004,319796.5489349365,4700,1,0.30000000000000004,317913.3846588135,4700,1,0.30000000000000004,338890.20889282227,4700,1,0.30000000000000004,108885830.75709534,400,400,400,400,400,400,400,4690,400,400,400,400,400,4689,4690,400,400,400,4690,400,400,400,400,400,0,0,100,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37458436096,0
199,1717968216534,981573.6199798584,4700,1,0.30000000000000004,324313.05085754395,4700,1,0.30000000000000004,558635.7177429199,4700,1,0.30000000000000004,357105.82780456543,4700,1,0.30000000000000004,357705.7868347168,4700,1,0.30000000000000004,351435.8399963379,4700,1,0.30000000000000004,355357.5690917969,4700,1,0.30000000000000004,362436.9513397217,4700,1,0.30000000000000004,355067.1210632324,4700,1,0.30000000000000004,319796.5551147461,4700,1,0.30000000000000004,317913.390914917,4700,1,0.30000000000000004,338890.2176513672,4700,1,0.30000000000000004,108885840.09846497,400,400,400,400,400,400,400,4690,400,400,400,400,400,4689,4690,400,400,400,4690,400,400,400,400,400,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,66480525312,2147479552,37461250048,0
