Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717981186925,998668.4221954346,4700,1,0.30000000000000004,334649.91496276855,4700,1,0.30000000000000004,569021.1488342285,4700,1,0.30000000000000004,366469.52307128906,4700,1,0.30000000000000004,367305.4707183838,4700,1,0.30000000000000004,362028.3346557617,4700,1,0.30000000000000004,366962.19747924805,4700,1,0.30000000000000004,373671.0219116211,4700,1,0.30000000000000004,369675.3198852539,4700,1,0.30000000000000004,329258.6545562744,4700,1,0.30000000000000004,327249.96797180176,4700,1,0.30000000000000004,348338.2635040283,4700,1,0.30000000000000004,109442727.51097107,400,4690,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,400,400,400,400,400,400,400,0,100,0,0,0,4,0,0,0,0,0,0,0,4.1666669845581055,0,0,0,0,0,0,4.1666669845581055,0,0,0,66480525312,2147479552,37343109120,0
199,1717981186926,998668.4240264893,4700,1,0.30000000000000004,334649.91664123535,4700,1,0.3062499999999999,569021.1502380371,4700,1,0.3062499999999999,366469.5330505371,4700,1,0.30000000000000004,367305.4717102051,4700,1,0.30000000000000004,362028.335647583,4700,1,0.30000000000000004,366962.1997680664,4700,1,0.30000000000000004,373671.02627563477,4700,1,0.30000000000000004,369675.33419799805,4700,1,0.30000000000000004,329258.6556854248,4700,1,0.30000000000000004,327249.96940612793,4700,1,0.30000000000000004,348338.2735748291,4700,1,0.30000000000000004,109442727.61424255,400,4690,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,400,400,400,400,400,400,400,0,100,0,0,0,4,0,0,0,0,0,0,0,4.1666669845581055,0,0,0,0,0,0,4.1666669845581055,0,0,0,66480525312,2147479552,37346177024,0
199,1717981187126,998668.6124572754,4700,1,0.3062499999999999,334650.19773864746,4700,1,0.3062499999999999,569021.4159088135,4700,1,0.3062499999999999,366470.4445800781,4700,1,0.3062499999999999,367305.70039367676,4700,1,0.3062499999999999,362028.60430908203,4700,1,0.3062499999999999,366962.45793151855,4700,1,0.3062499999999999,373671.3464202881,4700,1,0.3062499999999999,369675.5408630371,4700,1,0.3062499999999999,329258.9247741699,4700,1,0.3062499999999999,327250.38188171387,4700,1,0.3062499999999999,348338.5467529297,4700,1,0.3062499999999999,109442737.56150818,400,4690,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,400,400,400,400,400,400,400,0,80,4.761904716491699,4.761904716491699,0,15.000000953674316,0,5,10,0,5,0,0,20,5,5,5,9.090909004211426,13.043478012084961,0,5.263157844543457,10,13.636363983154297,10,66480525312,2147479552,37349507072,0
199,1717981187326,998668.8278808594,4700,1,0.3062499999999999,334650.43183898926,4700,1,0.3062499999999999,569021.6463775635,4700,1,0.3062499999999999,366471.44705200195,4700,1,0.3062499999999999,367306.0383605957,4700,1,0.3062499999999999,362028.99967956543,4700,1,0.3062499999999999,366962.6841888428,4700,1,0.3062499999999999,373671.67755126953,4700,1,0.3062499999999999,369675.76512145996,4700,1,0.3062499999999999,329259.1309661865,4700,1,0.3062499999999999,327250.68072509766,4700,1,0.3062499999999999,348338.84858703613,4700,1,0.3062499999999999,109442747.66268921,400,4690,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,400,400,400,400,400,400,400,10,4.761904716491699,14.285715103149414,5.263157844543457,0,100,13.636363983154297,15.000000953674316,0,10,9.523809432983398,5,0,5.263157844543457,15.000000953674316,14.285715103149414,5.263157844543457,5.263157844543457,10,5,14.285715103149414,10.526315689086914,15.000000953674316,5.263157844543457,66480525312,2147479552,37443493888,0
199,1717981187526,998668.9338378906,4700,1,0.30000000000000004,334650.5185241699,4700,1,0.30000000000000004,569021.8193054199,4700,1,0.30000000000000004,366472.4356842041,4700,1,0.30000000000000004,367306.29524230957,4700,1,0.30000000000000004,362029.12463378906,4700,1,0.30000000000000004,366962.823348999,4700,1,0.30000000000000004,373671.7824859619,4700,1,0.30000000000000004,369675.85609436035,4700,1,0.30000000000000004,329259.37355041504,4700,1,0.30000000000000004,327250.7533721924,4700,1,0.30000000000000004,348338.97286987305,4700,1,0.30000000000000004,109442756.32730103,400,4690,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,400,400,400,400,400,400,400,0,0,0,0,0,100,0,9.523809432983398,0,4.761904716491699,0,15.000000953674316,4.761904716491699,0,9.523809432983398,0,10,0,5,0,0,0,5,9.090909004211426,66480525312,2147479552,37444349952,0
199,1717981187726,998668.9444732666,4700,1,0.30000000000000004,334651.440536499,4700,1,0.30000000000000004,569021.8751678467,4700,1,0.30000000000000004,366473.41859436035,4700,1,0.30000000000000004,367306.5466308594,4700,1,0.30000000000000004,362029.1898345947,4700,1,0.30000000000000004,366962.83375549316,4700,1,0.30000000000000004,373671.83351135254,4700,1,0.30000000000000004,369675.8852844238,4700,1,0.30000000000000004,329259.44787597656,4700,1,0.30000000000000004,327250.7943725586,4700,1,0.30000000000000004,348339.0422821045,4700,1,0.30000000000000004,109442765.11862183,400,4690,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,400,400,400,400,400,400,400,0,5.263157844543457,45,0,0,90.47618865966797,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,28.571430206298828,0,0,0,0,9.523809432983398,0,0,10,66480525312,2147479552,37446496256,0
199,1717981187926,998668.9518890381,4700,1,0.30000000000000004,334652.51530456543,4700,1,0.30000000000000004,569021.893661499,4700,1,0.30000000000000004,366474.40562438965,4700,1,0.30000000000000004,367306.7211303711,4700,1,0.30000000000000004,362029.2203979492,4700,1,0.30000000000000004,366962.95695495605,4700,1,0.30000000000000004,373671.84967041016,4700,1,0.30000000000000004,369675.90451049805,4700,1,0.30000000000000004,329259.45414733887,4700,1,0.30000000000000004,327250.8041229248,4700,1,0.30000000000000004,348339.0531158447,4700,1,0.30000000000000004,109442774.03747559,400,4690,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,400,400,400,400,400,400,400,0,100,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37452607488,0
199,1717981188126,998668.9601135254,4700,1,0.30000000000000004,334654.0348968506,4700,1,0.30000000000000004,569021.9001922607,4700,1,0.30000000000000004,366475.39224243164,4700,1,0.30000000000000004,367306.75732421875,4700,1,0.30000000000000004,362029.2307128906,4700,1,0.30000000000000004,366963.18269348145,4700,1,0.30000000000000004,373671.8567199707,4700,1,0.30000000000000004,369675.9340057373,4700,1,0.30000000000000004,329259.4604034424,4700,1,0.30000000000000004,327250.82147216797,4700,1,0.30000000000000004,348339.06604003906,4700,1,0.30000000000000004,109442783.35873413,400,4690,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,400,400,400,400,400,400,400,0,100,100,0,0,0,0,0,0,0,4.761904716491699,0,0,5,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37454954496,0
199,1717981188327,998668.9666748047,4700,1,0.30000000000000004,334655.62379455566,4700,1,0.30000000000000004,569021.9066925049,4700,1,0.30000000000000004,366476.37425231934,4700,1,0.30000000000000004,367306.7635498047,4700,1,0.30000000000000004,362029.2384033203,4700,1,0.30000000000000004,366963.40660095215,4700,1,0.30000000000000004,373671.8638153076,4700,1,0.30000000000000004,369675.94915771484,4700,1,0.30000000000000004,329259.4665527344,4700,1,0.30000000000000004,327250.8276062012,4700,1,0.30000000000000004,348339.0722503662,4700,1,0.30000000000000004,109442792.57415771,400,4690,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,400,400,400,400,400,400,400,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37457813504,0
199,1717981188527,998669.0165405273,4700,1,0.3062499999999999,334656.0666809082,4700,1,0.3062499999999999,569022.3478393555,4700,1,0.3062499999999999,366477.3585662842,4700,1,0.3062499999999999,367306.96936035156,4700,1,0.3062499999999999,362029.27449035645,4700,1,0.3062499999999999,366963.65367126465,4700,1,0.3062499999999999,373671.9012145996,4700,1,0.3062499999999999,369676.14991760254,4700,1,0.3062499999999999,329259.4902496338,4700,1,0.3062499999999999,327251.1795349121,4700,1,0.3062499999999999,348339.0986480713,4700,1,0.3062499999999999,109442802.0670929,400,4690,400,400,400,400,400,400,400,4690,400,400,400,4689,400,400,400,400,400,400,400,400,400,400,0,100,40,33.333335876464844,0,0,5.263157844543457,0,0,0,15.000000953674316,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,4.761904716491699,0,30.000001907348633,0,66480525312,2147479552,37466955776,0
