Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717969566495,983298.4987792969,4700,1,0.30000000000000004,325483.8468475342,4700,1,0.30000000000000004,559583.9938964844,4700,1,0.30000000000000004,358052.1065826416,4700,1,0.30000000000000004,358926.26542663574,4700,1,0.30000000000000004,352542.95111083984,4700,1,0.30000000000000004,356749.34368896484,4700,1,0.30000000000000004,363630.71408081055,4700,1,0.30000000000000004,356486.72035217285,4700,1,0.30000000000000004,320996.222366333,4700,1,0.30000000000000004,318733.4362640381,4700,1,0.30000000000000004,339789.65299987793,4700,1,0.30000000000000004,108943932.3321228,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,400,400,0,0,0,0,8,0,4,0,0,0,4,0,4,0,4,4,4,100,0,0,0,0,4.1666669845581055,0,66480525312,2147479552,37333463040,0
199,1717969566495,983298.5088043213,4700,1,0.30000000000000004,325483.84828186035,4700,1,0.30000000000000004,559583.9952697754,4700,1,0.3062499999999999,358052.1079559326,4700,1,0.30000000000000004,358926.2666015625,4700,1,0.30000000000000004,352542.9612426758,4700,1,0.30000000000000004,356749.34672546387,4700,1,0.30000000000000004,363630.71533203125,4700,1,0.30000000000000004,356486.7218017578,4700,1,0.30000000000000004,320996.2246246338,4700,1,0.30000000000000004,318733.43829345703,4700,1,0.30000000000000004,339789.6640625,4700,1,0.30000000000000004,108943932.43421936,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,400,400,0,0,0,0,8,0,4,0,0,0,4,0,4,0,4,4,4,100,0,0,0,0,4.1666669845581055,0,66480525312,2147479552,37336530944,0
199,1717969566695,983298.7546081543,4700,1,0.30000000000000004,325483.91244506836,4700,1,0.30000000000000004,559584.2035675049,4700,1,0.30000000000000004,358052.21740722656,4700,1,0.30000000000000004,358926.35258483887,4700,1,0.30000000000000004,352543.90576171875,4700,1,0.30000000000000004,356749.4736480713,4700,1,0.30000000000000004,363630.8051300049,4700,1,0.30000000000000004,356486.87239074707,4700,1,0.30000000000000004,320996.368270874,4700,1,0.30000000000000004,318733.62890625,4700,1,0.30000000000000004,339789.749420166,4700,1,0.30000000000000004,108943941.09144592,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,0,4.761904716491699,0,5.263157844543457,5,0,0,0,0,0,95.23809814453125,0,0,0,0,5,9.090909004211426,66480525312,2147479552,37345751040,0
199,1717969566895,983299.1692352295,4700,1,0.30000000000000004,325484.2734527588,4700,1,0.30000000000000004,559584.9925537109,4700,1,0.30000000000000004,358052.62886047363,4700,1,0.30000000000000004,358926.83113098145,4700,1,0.30000000000000004,352544.49613952637,4700,1,0.30000000000000004,356749.85133361816,4700,1,0.30000000000000004,363631.1971435547,4700,1,0.30000000000000004,356487.16592407227,4700,1,0.30000000000000004,320996.67364501953,4700,1,0.30000000000000004,318733.92808532715,4700,1,0.30000000000000004,339790.12060546875,4700,1,0.30000000000000004,108943952.13293457,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,400,400,18.18181800842285,15.000000953674316,22.72727394104004,15.000000953674316,11.111111640930176,15.000000953674316,15.789472579956055,14.285715103149414,5.263157844543457,10,13.636363983154297,5.555555820465088,10.526315689086914,10,20,5.263157844543457,76.19047546386719,30.000001907348633,5.263157844543457,14.285715103149414,5,10,5,5.263157844543457,66480525312,2147479552,37422972928,0
199,1717969567095,983299.309967041,4700,1,0.30000000000000004,325484.43113708496,4700,1,0.30000000000000004,559585.9470672607,4700,1,0.30000000000000004,358052.79957580566,4700,1,0.30000000000000004,358927.09886169434,4700,1,0.30000000000000004,352544.6234436035,4700,1,0.30000000000000004,356749.99336242676,4700,1,0.30000000000000004,363631.29292297363,4700,1,0.30000000000000004,356487.2311401367,4700,1,0.30000000000000004,320996.7147369385,4700,1,0.30000000000000004,318733.9953613281,4700,1,0.30000000000000004,339790.27799987793,4700,1,0.30000000000000004,108943960.61082458,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,400,400,0,9.523809432983398,10.526315689086914,4.761904716491699,0,0,10,5,4.761904716491699,0,0,0,10,4.761904716491699,10,0,100,0,5,4.761904716491699,4.761904716491699,0,5,0,66480525312,2147479552,37455765504,0
199,1717969567296,983300.0238494873,4700,1,0.30000000000000004,325484.538772583,4700,1,0.30000000000000004,559586.8991394043,4700,1,0.30000000000000004,358052.9677429199,4700,1,0.30000000000000004,358927.24769592285,4700,1,0.30000000000000004,352544.85453796387,4700,1,0.30000000000000004,356750.0847015381,4700,1,0.30000000000000004,363631.43879699707,4700,1,0.30000000000000004,356487.29119873047,4700,1,0.30000000000000004,320996.76806640625,4700,1,0.30000000000000004,318734.05279541016,4700,1,0.30000000000000004,339790.3053588867,4700,1,0.30000000000000004,108943969.3843689,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,400,400,19.047618865966797,0,0,0,40.90909194946289,0,5,14.285715103149414,0,4.761904716491699,0,0,0,4.761904716491699,0,0,100,0,4.761904716491699,9.523809432983398,0,0,4.761904716491699,0,66480525312,2147479552,37436747776,0
199,1717969567496,983301.2389678955,4700,1,0.30000000000000004,325484.5450286865,4700,1,0.30000000000000004,559587.8530731201,4700,1,0.30000000000000004,358052.97564697266,4700,1,0.30000000000000004,358927.27366638184,4700,1,0.30000000000000004,352544.8788909912,4700,1,0.30000000000000004,356750.0913848877,4700,1,0.30000000000000004,363631.44596862793,4700,1,0.30000000000000004,356487.3236541748,4700,1,0.30000000000000004,320996.77432250977,4700,1,0.30000000000000004,318734.06338500977,4700,1,0.30000000000000004,339790.31156921387,4700,1,0.30000000000000004,108943978.02429199,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,400,400,95.45454406738281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,66480525312,2147479552,37442682880,0
199,1717969567696,983302.6515197754,4700,1,0.30000000000000004,325484.55113220215,4700,1,0.30000000000000004,559588.8021392822,4700,1,0.30000000000000004,358052.9829711914,4700,1,0.30000000000000004,358927.29039001465,4700,1,0.30000000000000004,352544.88874816895,4700,1,0.30000000000000004,356750.0976409912,4700,1,0.30000000000000004,363631.45262145996,4700,1,0.30000000000000004,356487.33125305176,4700,1,0.30000000000000004,320996.7815246582,4700,1,0.30000000000000004,318734.0710296631,4700,1,0.30000000000000004,339790.31787109375,4700,1,0.30000000000000004,108943986.799057,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,400,400,94.73684692382813,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,100,0,0,0,0,0,0,0,66480525312,2147479552,37446377472,0
199,1717969567896,983304.33984375,4700,1,0.3062499999999999,325484.5697631836,4700,1,0.30000000000000004,559589.7447509766,4700,1,0.30000000000000004,358052.9965209961,4700,1,0.3062499999999999,358927.2987976074,4700,1,0.30000000000000004,352544.89514160156,4700,1,0.30000000000000004,356750.10430908203,4700,1,0.30000000000000004,363631.45893859863,4700,1,0.30000000000000004,356487.3849334717,4700,1,0.30000000000000004,320996.79611206055,4700,1,0.30000000000000004,318734.07719421387,4700,1,0.30000000000000004,339790.330368042,4700,1,0.30000000000000004,108943996.08956909,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,400,400,100,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4.761904716491699,0,0,66480525312,2147479552,37448003584,0
199,1717969568096,983305.1477508545,4700,1,0.3062499999999999,325484.5852355957,4700,1,0.3062499999999999,559590.678314209,4700,1,0.3062499999999999,358053.02293395996,4700,1,0.3062499999999999,358927.7241973877,4700,1,0.3062499999999999,352544.931930542,4700,1,0.3062499999999999,356750.14096069336,4700,1,0.3062499999999999,363631.4822998047,4700,1,0.3062499999999999,356487.6094055176,4700,1,0.3062499999999999,320996.8032684326,4700,1,0.3062499999999999,318734.1005706787,4700,1,0.3062499999999999,339790.35124206543,4700,1,0.3062499999999999,108944005.09136963,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,4690,400,400,4690,400,400,400,400,400,400,100,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4.761904716491699,0,0,66480525312,2147479552,37456109568,0
