Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717966433895,979000.1664733887,4700,1,0.30000000000000004,323045.12382507324,4700,1,0.30000000000000004,557155.8892364502,4700,1,0.30000000000000004,355717.2376098633,4700,1,0.30000000000000004,356163.0679321289,4700,1,0.30000000000000004,350043.4641113281,4700,1,0.30000000000000004,353456.5341796875,4700,1,0.30000000000000004,360893.97688293457,4700,1,0.30000000000000004,353348.1057281494,4700,1,0.30000000000000004,318552.39474487305,4700,1,0.30000000000000004,316728.90966796875,4700,1,0.30000000000000004,337577.83265686035,4700,1,0.30000000000000004,108809116.89831543,400,400,400,400,400,4689,400,400,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,4688,400,400,0,0,0,0,6.6666669845581055,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37159772160,0
199,1717966433895,979000.1767425537,4700,1,0.30000000000000004,323045.1248626709,4700,1,0.30000000000000004,557155.8902435303,4700,1,0.30000000000000004,355717.2404785156,4700,1,0.30000000000000004,356163.06929016113,4700,1,0.30000000000000004,350043.47526550293,4700,1,0.30000000000000004,353456.5355529785,4700,1,0.30000000000000004,360893.9783630371,4700,1,0.30000000000000004,353348.1058502197,4700,1,0.30000000000000004,318552.39582824707,4700,1,0.30000000000000004,316728.9108581543,4700,1,0.30000000000000004,337577.8421020508,4700,1,0.30000000000000004,108809116.99487305,400,400,400,400,400,4689,400,400,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,4688,400,400,0,0,0,0,6.6666669845581055,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37162868736,0
199,1717966434095,979000.4118041992,4700,1,0.30000000000000004,323045.23989868164,4700,1,0.30000000000000004,557155.9515686035,4700,1,0.30000000000000004,355717.52142333984,4700,1,0.30000000000000004,356163.27963256836,4700,1,0.30000000000000004,350043.58532714844,4700,1,0.30000000000000004,353456.63499450684,4700,1,0.30000000000000004,360894.06217956543,4700,1,0.30000000000000004,353348.1735534668,4700,1,0.30000000000000004,318552.4619140625,4700,1,0.30000000000000004,316729.0075073242,4700,1,0.30000000000000004,337578.72970581055,4700,1,0.30000000000000004,108809125.51850891,400,400,400,400,400,4689,400,400,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,4688,400,400,10,0,0,4.761904716491699,0,4.761904716491699,0,5,0,0,0,0,13.636363983154297,4.761904716491699,100,4.761904716491699,0,0,0,0,0,0,0,0,66480525312,2147479552,37171290112,0
199,1717966434296,979000.6287384033,4700,1,0.30000000000000004,323045.4853363037,4700,1,0.30000000000000004,557156.1104125977,4700,1,0.30000000000000004,355717.74978637695,4700,1,0.30000000000000004,356163.4200592041,4700,1,0.30000000000000004,350043.6812286377,4700,1,0.30000000000000004,353456.7987060547,4700,1,0.30000000000000004,360894.2604980469,4700,1,0.30000000000000004,353348.26789855957,4700,1,0.30000000000000004,318552.5653991699,4700,1,0.30000000000000004,316729.1357269287,4700,1,0.30000000000000004,337579.6373138428,4700,1,0.30000000000000004,108809134.36141968,400,400,400,400,400,4689,400,400,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,4688,400,400,10,0,5.263157844543457,9.523809432983398,5,4.761904716491699,0,4.545454502105713,0,10.526315689086914,4.761904716491699,4.761904716491699,5.263157844543457,0,95,5,9.523809432983398,4.761904716491699,5,0,0,4.761904716491699,9.523809432983398,4.761904716491699,66480525312,2147479552,37163986944,0
199,1717966434496,979000.67237854,4700,1,0.30000000000000004,323045.50355529785,4700,1,0.30000000000000004,557156.1280059814,4700,1,0.30000000000000004,355717.7749633789,4700,1,0.30000000000000004,356163.4663696289,4700,1,0.30000000000000004,350043.7608795166,4700,1,0.30000000000000004,353456.82275390625,4700,1,0.30000000000000004,360894.2833709717,4700,1,0.30000000000000004,353348.2841796875,4700,1,0.30000000000000004,318552.7548522949,4700,1,0.30000000000000004,316729.1514892578,4700,1,0.30000000000000004,337580.5665283203,4700,1,0.30000000000000004,108809142.19282532,400,400,400,400,400,4689,400,400,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,4688,400,400,0,0,0,0,0,0,0,5,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37165576192,0
199,1717966434696,979000.7784118652,4700,1,0.30000000000000004,323045.6812438965,4700,1,0.30000000000000004,557156.256439209,4700,1,0.30000000000000004,355717.84216308594,4700,1,0.30000000000000004,356163.57427978516,4700,1,0.30000000000000004,350043.83853149414,4700,1,0.30000000000000004,353456.8968658447,4700,1,0.30000000000000004,360894.37814331055,4700,1,0.30000000000000004,353348.34490966797,4700,1,0.30000000000000004,318552.930770874,4700,1,0.30000000000000004,316729.2493286133,4700,1,0.30000000000000004,337581.50199890137,4700,1,0.30000000000000004,108809150.82954407,400,400,400,400,400,4689,400,400,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,4688,400,400,5,0,5,5,0,0,9.523809432983398,0,0,5.263157844543457,4.761904716491699,0,0,4.761904716491699,100,0,5,0,0,0,0,4.761904716491699,9.523809432983398,0,66480525312,2147479552,37166157824,0
199,1717966434896,979001.0103302002,4700,1,0.30000000000000004,323045.8367614746,4700,1,0.30000000000000004,557156.4132537842,4700,1,0.30000000000000004,355717.9664154053,4700,1,0.30000000000000004,356163.72706604004,4700,1,0.30000000000000004,350043.97117614746,4700,1,0.30000000000000004,353457.03678894043,4700,1,0.30000000000000004,360894.49116516113,4700,1,0.30000000000000004,353348.60400390625,4700,1,0.30000000000000004,318553.0662994385,4700,1,0.30000000000000004,316729.4060058594,4700,1,0.30000000000000004,337582.44396972656,4700,1,0.30000000000000004,108809159.69021606,400,400,400,400,400,4689,400,400,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,4688,400,400,5,9.523809432983398,5,9.523809432983398,9.523809432983398,5,0,5.263157844543457,4.761904716491699,5,0,5.263157844543457,9.523809432983398,5.263157844543457,100,5.263157844543457,9.523809432983398,9.523809432983398,5.263157844543457,5,10,5,0,4.761904716491699,66480525312,2147479552,37259264000,0
199,1717966435096,979001.2491607666,4700,1,0.30000000000000004,323045.9702758789,4700,1,0.30000000000000004,557156.5326538086,4700,1,0.30000000000000004,355718.0227050781,4700,1,0.30000000000000004,356163.8352355957,4700,1,0.30000000000000004,350044.0626525879,4700,1,0.30000000000000004,353457.09477233887,4700,1,0.30000000000000004,360894.5755767822,4700,1,0.30000000000000004,353348.76570129395,4700,1,0.30000000000000004,318553.266708374,4700,1,0.30000000000000004,316729.57135009766,4700,1,0.30000000000000004,337583.3769683838,4700,1,0.30000000000000004,108809168.55262756,400,400,400,400,400,4689,400,400,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,4688,400,400,15.000000953674316,4.761904716491699,9.090909004211426,5,0,4.761904716491699,4.761904716491699,9.523809432983398,0,0,4.761904716491699,0,0,0,100,0,5.263157844543457,4.761904716491699,0,0,0,10,14.285715103149414,0,66480525312,2147479552,37288681472,0
199,1717966435296,979001.3071594238,4700,1,0.30000000000000004,323046.02445983887,4700,1,0.30000000000000004,557156.5785522461,4700,1,0.30000000000000004,355718.0846710205,4700,1,0.30000000000000004,356163.89457702637,4700,1,0.30000000000000004,350044.09857177734,4700,1,0.30000000000000004,353457.18395996094,4700,1,0.30000000000000004,360894.6311035156,4700,1,0.30000000000000004,353348.9542388916,4700,1,0.30000000000000004,318553.33699035645,4700,1,0.30000000000000004,316729.6390533447,4700,1,0.30000000000000004,337584.3221588135,4700,1,0.30000000000000004,108809176.4238739,400,400,400,400,400,4689,400,400,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,4688,400,400,4.761904716491699,0,0,0,0,0,0,0,0,0,9.523809432983398,0,5,4.761904716491699,100,0,0,0,0,0,4.761904716491699,0,0,0,66480525312,2147479552,37268766720,0
199,1717966435496,979001.3562164307,4700,1,0.30000000000000004,323046.0335998535,4700,1,0.30000000000000004,557156.5867462158,4700,1,0.30000000000000004,355718.1214904785,4700,1,0.30000000000000004,356163.91290283203,4700,1,0.30000000000000004,350044.12771606445,4700,1,0.30000000000000004,353457.2139892578,4700,1,0.30000000000000004,360894.7127838135,4700,1,0.30000000000000004,353349.05238342285,4700,1,0.30000000000000004,318553.40785217285,4700,1,0.30000000000000004,316729.65071105957,4700,1,0.30000000000000004,337585.2572784424,4700,1,0.30000000000000004,108809184.02352905,400,400,400,400,400,4689,400,400,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,4688,400,400,0,10,0,0,0,0,0,4.761904716491699,4.761904716491699,4.761904716491699,0,0,0,0,90.47618865966797,0,0,0,0,0,0,0,0,5,66480525312,2147479552,37273219072,0
