Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717974394026,990211.3319091797,4700,1,0.30000000000000004,329423.9608306885,4700,1,0.30000000000000004,563321.1897888184,4700,1,0.30000000000000004,361354.34172058105,4700,1,0.30000000000000004,362407.77770996094,4700,1,0.30000000000000004,356249.6526489258,4700,1,0.30000000000000004,361582.0063171387,4700,1,0.30000000000000004,368209.32107543945,4700,1,0.30000000000000004,362049.51710510254,4700,1,0.30000000000000004,324262.4204559326,4700,1,0.30000000000000004,322163.7159576416,4700,1,0.30000000000000004,343026.44429016113,4700,1,0.30000000000000004,109151794.34786987,400,400,400,400,400,400,400,400,400,400,4687,4678,4690,400,400,400,400,400,4690,400,4689,400,400,400,3.846153974533081,0,0,0,0,4,0,0,0,0,0,0,100,0,0,0,3.846153974533081,0,0,0,0,0,0,0,66480525312,2147479552,37191045120,0
199,1717974394026,990211.3331451416,4700,1,0.30000000000000004,329423.9616699219,4700,1,0.30000000000000004,563321.1999359131,4700,1,0.30000000000000004,361354.34295654297,4700,1,0.30000000000000004,362407.78759765625,4700,1,0.30000000000000004,356249.6545562744,4700,1,0.30000000000000004,361582.0075073242,4700,1,0.30000000000000004,368209.32244873047,4700,1,0.30000000000000004,362049.51834106445,4700,1,0.30000000000000004,324262.42138671875,4700,1,0.30000000000000004,322163.71716308594,4700,1,0.30000000000000004,343026.454498291,4700,1,0.30000000000000004,109151794.4417572,400,400,400,400,400,400,400,400,400,400,4687,4678,4690,400,400,400,400,400,4690,400,4689,400,400,400,3.846153974533081,0,0,0,0,4,0,0,0,0,0,0,100,0,0,0,3.846153974533081,0,0,0,0,0,0,0,66480525312,2147479552,37191561216,0
199,1717974394227,990211.6162109375,4700,1,0.3062499999999999,329424.1123046875,4700,1,0.3062499999999999,563321.5103149414,4700,1,0.3062499999999999,361354.63523864746,4700,1,0.3062499999999999,362408.73445129395,4700,1,0.3062499999999999,356249.90074157715,4700,1,0.3062499999999999,361582.25105285645,4700,1,0.3062499999999999,368209.5357055664,4700,1,0.3062499999999999,362049.6641693115,4700,1,0.3062499999999999,324262.6046600342,4700,1,0.3062499999999999,322164.03536987305,4700,1,0.3062499999999999,343026.69581604004,4700,1,0.3062499999999999,109151804.13293457,400,400,400,400,400,400,400,400,400,400,4687,4678,4690,400,400,400,400,400,4690,400,4689,400,400,400,5,5.263157844543457,0,5.263157844543457,4.761904716491699,9.090909004211426,4.761904716491699,5,4.761904716491699,5,5,0,90.90909576416016,0,0,5,9.523809432983398,4.761904716491699,5,9.523809432983398,4.761904716491699,9.523809432983398,15.000000953674316,10,66480525312,2147479552,37203394560,0
199,1717974394427,990211.9846496582,4700,1,0.30000000000000004,329424.3586883545,4700,1,0.30000000000000004,563321.861328125,4700,1,0.30000000000000004,361354.98236083984,4700,1,0.30000000000000004,362409.7488555908,4700,1,0.30000000000000004,356250.3414916992,4700,1,0.30000000000000004,361582.7359313965,4700,1,0.30000000000000004,368209.912399292,4700,1,0.30000000000000004,362049.8995819092,4700,1,0.30000000000000004,324262.85244750977,4700,1,0.30000000000000004,322164.2869567871,4700,1,0.30000000000000004,343026.9060058594,4700,1,0.30000000000000004,109151814.84437561,400,400,400,400,400,400,400,400,400,400,4687,4678,4690,400,400,400,400,400,4690,400,4689,400,400,400,10,10,5,5,5.263157844543457,5.263157844543457,0,20,10,14.285715103149414,0,5.263157844543457,100,14.285715103149414,10,10,15.789472579956055,10.526315689086914,23.809524536132813,10,5.263157844543457,5,5,5,66480525312,2147479552,37299388416,0
199,1717974394627,990212.0833435059,4700,1,0.30000000000000004,329424.50340270996,4700,1,0.30000000000000004,563322.0232849121,4700,1,0.30000000000000004,361355.09884643555,4700,1,0.30000000000000004,362410.73933410645,4700,1,0.30000000000000004,356250.48457336426,4700,1,0.30000000000000004,361583.0415649414,4700,1,0.30000000000000004,368210.00076293945,4700,1,0.30000000000000004,362050.03352355957,4700,1,0.30000000000000004,324263.08212280273,4700,1,0.30000000000000004,322164.3607788086,4700,1,0.30000000000000004,343027.0866546631,4700,1,0.30000000000000004,109151823.7102356,400,400,400,400,400,400,400,400,400,400,4687,4678,4690,400,400,400,400,400,4690,400,4689,400,400,400,0,0,0,0,0,5,0,9.523809432983398,9.523809432983398,0,4.761904716491699,10,100,0,15.000000953674316,5,0,0,0,4.761904716491699,4.761904716491699,9.523809432983398,0,5,66480525312,2147479552,37310697472,0
199,1717974394827,990212.0954284668,4700,1,0.30000000000000004,329425.6308898926,4700,1,0.30000000000000004,563322.0849609375,4700,1,0.30000000000000004,361355.10626220703,4700,1,0.30000000000000004,362411.73046875,4700,1,0.30000000000000004,356250.5173187256,4700,1,0.30000000000000004,361583.27519226074,4700,1,0.30000000000000004,368210.0086212158,4700,1,0.30000000000000004,362050.05841064453,4700,1,0.30000000000000004,324263.0916442871,4700,1,0.30000000000000004,322164.37200927734,4700,1,0.30000000000000004,343027.0962677002,4700,1,0.30000000000000004,109151832.68217468,400,400,400,400,400,400,400,400,400,400,4687,4678,4690,400,400,400,400,400,4690,400,4689,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,90.47618865966797,0,0,0,0,0,0,0,0,66480525312,2147479552,37313142784,0
199,1717974395027,990212.1070404053,4700,1,0.30000000000000004,329426.67359924316,4700,1,0.30000000000000004,563322.1624755859,4700,1,0.30000000000000004,361355.1135406494,4700,1,0.30000000000000004,362412.72048950195,4700,1,0.30000000000000004,356250.5249328613,4700,1,0.30000000000000004,361583.51934814453,4700,1,0.30000000000000004,368210.0281524658,4700,1,0.30000000000000004,362050.0865325928,4700,1,0.30000000000000004,324263.09840393066,4700,1,0.30000000000000004,322164.3784484863,4700,1,0.30000000000000004,343027.10244750977,4700,1,0.30000000000000004,109151841.8466034,400,400,400,400,400,400,400,400,400,400,4687,4678,4690,400,400,400,400,400,4690,400,4689,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,90,0,0,0,0,4.761904716491699,0,0,0,66480525312,2147479552,37318942720,0
199,1717974395227,990212.121383667,4700,1,0.30000000000000004,329428.31733703613,4700,1,0.30000000000000004,563322.1714172363,4700,1,0.30000000000000004,361355.119720459,4700,1,0.30000000000000004,362413.70433044434,4700,1,0.30000000000000004,356250.5385437012,4700,1,0.30000000000000004,361583.75163269043,4700,1,0.30000000000000004,368210.0429840088,4700,1,0.30000000000000004,362050.0997467041,4700,1,0.30000000000000004,324263.104598999,4700,1,0.30000000000000004,322164.3858642578,4700,1,0.30000000000000004,343027.11462402344,4700,1,0.30000000000000004,109151851.32928467,400,400,400,400,400,400,400,400,400,400,4687,4678,4690,400,400,400,400,400,4690,400,4689,400,400,400,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,100,0,0,100,0,0,0,0,4.761904716491699,0,0,0,66480525312,2147479552,37320466432,0
199,1717974395427,990212.1288757324,4700,1,0.30000000000000004,329429.8157196045,4700,1,0.30000000000000004,563322.1781158447,4700,1,0.30000000000000004,361355.1261291504,4700,1,0.30000000000000004,362414.69384765625,4700,1,0.30000000000000004,356250.5466003418,4700,1,0.30000000000000004,361583.9816131592,4700,1,0.30000000000000004,368210.049407959,4700,1,0.30000000000000004,362050.1182861328,4700,1,0.30000000000000004,324263.1107635498,4700,1,0.30000000000000004,322164.3920288086,4700,1,0.30000000000000004,343027.12074279785,4700,1,0.30000000000000004,109151860.68847656,400,400,400,400,400,400,400,400,400,400,4687,4678,4690,400,400,400,400,400,4690,400,4689,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,66480525312,2147479552,37325131776,0
199,1717974395627,990212.6222686768,4700,1,0.30000000000000004,329430.16564941406,4700,1,0.3062499999999999,563322.5646057129,4700,1,0.3062499999999999,361355.28804016113,4700,1,0.30000000000000004,362415.6861419678,4700,1,0.3062499999999999,356250.5850830078,4700,1,0.3062499999999999,361584.2395324707,4700,1,0.3062499999999999,368210.22982788086,4700,1,0.3062499999999999,362050.237411499,4700,1,0.3062499999999999,324263.40505981445,4700,1,0.3062499999999999,322164.54705810547,4700,1,0.3062499999999999,343027.1452331543,4700,1,0.3062499999999999,109151870.54966736,400,400,400,400,400,400,400,400,400,400,4687,4678,4690,400,400,400,400,400,4690,400,4689,400,400,400,23.809524536132813,18.18181800842285,0,0,10,0,0,0,0,9.523809432983398,0,0,100,0,0,26.3157901763916,30.000001907348633,0,0,0,5,20,14.285715103149414,0,66480525312,2147479552,37335687168,0
