Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717965171441,977410.8825531006,4700,1,0.30000000000000004,321672.51051330566,4700,1,0.30000000000000004,555702.8197021484,4700,1,0.30000000000000004,354557.66081237793,4700,1,0.30000000000000004,355271.1114349365,4700,1,0.30000000000000004,349221.3776397705,4700,1,0.30000000000000004,352505.9171447754,4700,1,0.30000000000000004,359560.3793334961,4700,1,0.30000000000000004,352181.1000061035,4700,1,0.30000000000000004,317639.1547241211,4700,1,0.30000000000000004,315964.5055999756,4700,1,0.30000000000000004,336528.5792236328,4700,1,0.30000000000000004,108754428.1658783,4689,4689,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,4689,400,400,400,400,4690,400,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,6.45161247253418,0,66480525312,2147479552,37162307584,0
199,1717965171442,977410.8842010498,4700,1,0.30000000000000004,321672.5114440918,4700,1,0.30000000000000004,555702.8299407959,4700,1,0.30000000000000004,354557.6623687744,4700,1,0.30000000000000004,355271.1215515137,4700,1,0.30000000000000004,349221.379776001,4700,1,0.30000000000000004,352505.9197692871,4700,1,0.30000000000000004,359560.3807067871,4700,1,0.30000000000000004,352181.10105895996,4700,1,0.30000000000000004,317639.1557312012,4700,1,0.30000000000000004,315964.5151062012,4700,1,0.30000000000000004,336528.5804901123,4700,1,0.30000000000000004,108754428.26921082,4689,4689,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,4689,400,400,400,400,4690,400,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,6.45161247253418,0,66480525312,2147479552,37165404160,0
199,1717965171642,977411.0214538574,4700,1,0.3125,321672.57608032227,4700,1,0.3125,555703.1365966797,4700,1,0.3125,354557.76203918457,4700,1,0.3125,355272.0682373047,4700,1,0.3125,349221.52795410156,4700,1,0.3125,352506.2056427002,4700,1,0.3125,359560.578994751,4700,1,0.3125,352181.2046508789,4700,1,0.3125,317639.2437591553,4700,1,0.3125,315964.6229095459,4700,1,0.3125,336528.65673828125,4700,1,0.3125,108754437.28167725,4689,4689,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,4689,400,400,400,400,4690,400,0,0,0,23.809524536132813,4.761904716491699,0,33.333335876464844,4.761904716491699,5,5,4.761904716491699,0,61.904762268066406,0,0,0,0,0,0,0,4.761904716491699,4.761904716491699,5,0,66480525312,2147479552,37175087104,0
199,1717965171842,977411.2523651123,4700,1,0.30000000000000004,321672.7654724121,4700,1,0.30000000000000004,555703.346786499,4700,1,0.30000000000000004,354557.88105773926,4700,1,0.30000000000000004,355273.0107116699,4700,1,0.30000000000000004,349221.6746826172,4700,1,0.30000000000000004,352506.4313964844,4700,1,0.30000000000000004,359560.7320098877,4700,1,0.30000000000000004,352181.32374572754,4700,1,0.30000000000000004,317639.40322875977,4700,1,0.30000000000000004,315964.7519378662,4700,1,0.30000000000000004,336528.8201599121,4700,1,0.30000000000000004,108754446.32672119,4689,4689,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,4689,400,400,400,400,4690,400,0,0,0,23.809524536132813,4.761904716491699,0,33.333335876464844,4.761904716491699,5,5,4.761904716491699,0,61.904762268066406,0,0,0,0,0,0,0,4.761904716491699,4.761904716491699,5,0,66480525312,2147479552,37177602048,0
199,1717965172042,977411.37449646,4700,1,0.30000000000000004,321672.8898010254,4700,1,0.30000000000000004,555703.4653320313,4700,1,0.30000000000000004,354557.98654174805,4700,1,0.30000000000000004,355273.9954071045,4700,1,0.30000000000000004,349221.7707672119,4700,1,0.30000000000000004,352506.51304626465,4700,1,0.30000000000000004,359560.8095397949,4700,1,0.30000000000000004,352181.38261413574,4700,1,0.30000000000000004,317639.5204772949,4700,1,0.30000000000000004,315964.96646118164,4700,1,0.30000000000000004,336528.948348999,4700,1,0.30000000000000004,108754454.87632751,4689,4689,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,4689,400,400,400,400,4690,400,4.878048419952393,7.317072868347168,2.4390242099761963,5,2.5,2.5,7.692307949066162,0,5,2.5,2.4390242099761963,2.5,89.74359130859375,0,2.4390242099761963,7.317072868347168,2.5641026496887207,2.5,0,2.5,0,2.5641026496887207,2.5,0,66480525312,2147479552,37180858368,0
199,1717965172242,977411.6375274658,4700,1,0.30000000000000004,321673.0586242676,4700,1,0.30000000000000004,555703.6040039063,4700,1,0.30000000000000004,354558.1342163086,4700,1,0.30000000000000004,355274.99337768555,4700,1,0.30000000000000004,349221.9214935303,4700,1,0.30000000000000004,352506.6625213623,4700,1,0.30000000000000004,359560.9783935547,4700,1,0.30000000000000004,352181.53869628906,4700,1,0.30000000000000004,317639.6581878662,4700,1,0.30000000000000004,315965.1910095215,4700,1,0.30000000000000004,336529.1401824951,4700,1,0.30000000000000004,108754464.05915833,4689,4689,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,4689,400,400,400,400,4690,400,13.636363983154297,5,5,14.285715103149414,14.285715103149414,9.523809432983398,4.761904716491699,9.090909004211426,10,13.636363983154297,5,5,100,9.523809432983398,0,9.523809432983398,5,9.523809432983398,9.523809432983398,14.285715103149414,5,9.523809432983398,10,9.523809432983398,66480525312,2147479552,37271420928,0
199,1717965172443,977411.8293609619,4700,1,0.30000000000000004,321673.15495300293,4700,1,0.30000000000000004,555703.6433868408,4700,1,0.30000000000000004,354558.2452850342,4700,1,0.30000000000000004,355275.9791870117,4700,1,0.30000000000000004,349221.96910095215,4700,1,0.30000000000000004,352506.73930358887,4700,1,0.30000000000000004,359561.0458679199,4700,1,0.30000000000000004,352181.61657714844,4700,1,0.30000000000000004,317639.8077697754,4700,1,0.30000000000000004,315965.2425689697,4700,1,0.30000000000000004,336529.2312774658,4700,1,0.30000000000000004,108754472.45832825,4689,4689,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,4689,400,400,400,400,4690,400,0,10,0,0,0,0,0,5,5,0,0,5,100,0,0,5.263157844543457,0,4.761904716491699,0,0,0,5.263157844543457,0,9.090909004211426,66480525312,2147479552,37281476608,0
199,1717965172643,977411.9720306396,4700,1,0.3062499999999999,321673.23735046387,4700,1,0.3062499999999999,555703.7989196777,4700,1,0.3062499999999999,354558.3073577881,4700,1,0.3062499999999999,355276.9725189209,4700,1,0.3062499999999999,349222.0261077881,4700,1,0.3062499999999999,352506.88653564453,4700,1,0.3062499999999999,359561.2148284912,4700,1,0.3062499999999999,352181.68954467773,4700,1,0.3062499999999999,317639.92485046387,4700,1,0.3062499999999999,315965.32804870605,4700,1,0.3062499999999999,336529.3247375488,4700,1,0.3062499999999999,108754480.8787384,4689,4689,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,4689,400,400,400,400,4690,400,0,0,0,0,0,0,0,0,4.761904716491699,0,0,9.523809432983398,100,0,0,0,10,0,0,0,0,5,4.761904716491699,0,66480525312,2147479552,37279563776,0
199,1717965172843,977412.1146392822,4700,1,0.30000000000000004,321673.2617340088,4700,1,0.30000000000000004,555703.8169708252,4700,1,0.30000000000000004,354558.3331604004,4700,1,0.30000000000000004,355277.96270751953,4700,1,0.30000000000000004,349222.03971862793,4700,1,0.30000000000000004,352506.9062347412,4700,1,0.30000000000000004,359561.36207580566,4700,1,0.30000000000000004,352181.77365112305,4700,1,0.30000000000000004,317639.9437408447,4700,1,0.30000000000000004,315965.37564086914,4700,1,0.30000000000000004,336529.347366333,4700,1,0.30000000000000004,108754488.70941162,4689,4689,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,4689,400,400,400,400,4690,400,0,0,5,0,0,5,0,0,0,0,5,0,100,0,0,0,5,0,0,0,0,0,0,0,66480525312,2147479552,37280755712,0
199,1717965173043,977412.3442840576,4700,1,0.30000000000000004,321673.26921081543,4700,1,0.30000000000000004,555703.8246459961,4700,1,0.30000000000000004,354558.34170532227,4700,1,0.30000000000000004,355278.9447479248,4700,1,0.30000000000000004,349222.0490722656,4700,1,0.30000000000000004,352506.9126434326,4700,1,0.30000000000000004,359561.3723144531,4700,1,0.30000000000000004,352181.78005981445,4700,1,0.30000000000000004,317639.9513397217,4700,1,0.30000000000000004,315965.4856414795,4700,1,0.30000000000000004,336529.3542480469,4700,1,0.30000000000000004,108754496.41021729,4689,4689,400,400,400,400,400,400,400,400,400,4690,4690,400,400,400,400,4689,400,400,400,400,4690,400,0,4.761904716491699,0,0,4.761904716491699,0,0,0,0,0,0,0,100,15.000000953674316,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37282373632,0
