Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717974243246,989997.2144775391,4700,1,0.30000000000000004,329328.3588256836,4700,1,0.30000000000000004,563151.7051696777,4700,1,0.30000000000000004,361298.23944091797,4700,1,0.30000000000000004,362337.0924682617,4700,1,0.30000000000000004,356205.6538696289,4700,1,0.30000000000000004,361477.8684692383,4700,1,0.30000000000000004,368164.44107055664,4700,1,0.30000000000000004,361872.7241516113,4700,1,0.30000000000000004,324126.0096588135,4700,1,0.30000000000000004,322056.1945953369,4700,1,0.30000000000000004,342915.9910736084,4700,1,0.30000000000000004,109145362.68527222,400,4690,400,4690,4690,4690,4689,4690,4690,4690,4690,4690,4690,4690,4687,4688,4689,4689,4690,400,4695,4689,400,4690,3.4482758045196533,0,0,0,0,3.3333334922790527,0,0,0,0,0,0,0,100,0,0,0,0,3.5714287757873535,0,0,0,0,3.3333334922790527,66480525312,2147479552,37183647744,0
199,1717974243246,989997.2158813477,4700,1,0.30000000000000004,329328.36058044434,4700,1,0.30000000000000004,563151.7060241699,4700,1,0.30000000000000004,361298.2406616211,4700,1,0.30000000000000004,362337.103515625,4700,1,0.30000000000000004,356205.6549987793,4700,1,0.30000000000000004,361477.87890625,4700,1,0.30000000000000004,368164.4422149658,4700,1,0.30000000000000004,361872.7268066406,4700,1,0.30000000000000004,324126.01069641113,4700,1,0.30000000000000004,322056.20417785645,4700,1,0.30000000000000004,342915.99197387695,4700,1,0.30000000000000004,109145362.78405762,400,4690,400,4690,4690,4690,4689,4690,4690,4690,4690,4690,4690,4690,4687,4688,4689,4689,4690,400,4695,4689,400,4690,3.4482758045196533,0,0,0,0,3.3333334922790527,0,0,0,0,0,0,0,100,0,0,0,0,3.5714287757873535,0,0,0,0,3.3333334922790527,66480525312,2147479552,37187256320,0
199,1717974243447,989997.4590454102,4700,1,0.30000000000000004,329328.5623321533,4700,1,0.30000000000000004,563151.8925476074,4700,1,0.30000000000000004,361298.3845062256,4700,1,0.30000000000000004,362337.329788208,4700,1,0.30000000000000004,356205.88565063477,4700,1,0.30000000000000004,361478.1042327881,4700,1,0.30000000000000004,368164.7454223633,4700,1,0.30000000000000004,361872.9694824219,4700,1,0.30000000000000004,324126.21000671387,4700,1,0.30000000000000004,322057.11503601074,4700,1,0.30000000000000004,342916.1239013672,4700,1,0.30000000000000004,109145372.2406311,400,4690,400,4690,4690,4690,4689,4690,4690,4690,4690,4690,4690,4690,4687,4688,4689,4689,4690,400,4695,4689,400,4690,9.523809432983398,0,5,5,10,0,5,5,5,0,0,10,5,95,5,4.761904716491699,0,13.636363983154297,5,10,4.761904716491699,0,4.545454502105713,0,66480525312,2147479552,37197524992,0
199,1717974243647,989997.822265625,4700,1,0.30000000000000004,329328.93507385254,4700,1,0.30000000000000004,563152.1995697021,4700,1,0.30000000000000004,361298.7397155762,4700,1,0.30000000000000004,362337.7702636719,4700,1,0.30000000000000004,356206.2194213867,4700,1,0.30000000000000004,361478.435836792,4700,1,0.30000000000000004,368165.1484375,4700,1,0.30000000000000004,361873.2049713135,4700,1,0.30000000000000004,324126.58363342285,4700,1,0.30000000000000004,322058.0555419922,4700,1,0.30000000000000004,342916.3698120117,4700,1,0.30000000000000004,109145383.09745789,400,4690,400,4690,4690,4690,4689,4690,4690,4690,4690,4690,4690,4690,4687,4688,4689,4689,4690,400,4695,4689,400,4690,5.263157844543457,5.263157844543457,19.047618865966797,5.263157844543457,15.000000953674316,10,5,5,13.636363983154297,14.285715103149414,5,10,20,55,9.523809432983398,10.526315689086914,0,10.526315689086914,10,15.789472579956055,10,10,47.36842346191406,5,66480525312,2147479552,37293305856,0
199,1717974243847,989997.9638519287,4700,1,0.30000000000000004,329329.0157928467,4700,1,0.30000000000000004,563152.4513244629,4700,1,0.30000000000000004,361298.8542480469,4700,1,0.30000000000000004,362337.92446899414,4700,1,0.30000000000000004,356206.582611084,4700,1,0.30000000000000004,361478.62016296387,4700,1,0.30000000000000004,368165.3161468506,4700,1,0.30000000000000004,361873.3412475586,4700,1,0.30000000000000004,324126.6693572998,4700,1,0.30000000000000004,322058.9876098633,4700,1,0.30000000000000004,342916.45237731934,4700,1,0.30000000000000004,109145391.8691864,400,4690,400,4690,4690,4690,4689,4690,4690,4690,4690,4690,4690,4690,4687,4688,4689,4689,4690,400,4695,4689,400,4690,0,4.761904716491699,0,0,4.761904716491699,0,5,0,0,0,0,0,5,0,0,5,0,15.789472579956055,9.523809432983398,18.18181800842285,0,5,100,0,66480525312,2147479552,37296271360,0
199,1717974244047,989999.12940979,4700,1,0.30000000000000004,329329.0229187012,4700,1,0.30000000000000004,563152.6507568359,4700,1,0.30000000000000004,361298.8637084961,4700,1,0.30000000000000004,362337.9427642822,4700,1,0.30000000000000004,356206.6002044678,4700,1,0.30000000000000004,361478.6654205322,4700,1,0.30000000000000004,368165.3265838623,4700,1,0.30000000000000004,361873.36946105957,4700,1,0.30000000000000004,324126.6768798828,4700,1,0.30000000000000004,322059.9194641113,4700,1,0.30000000000000004,342916.45919799805,4700,1,0.30000000000000004,109145400.56156921,400,4690,400,4690,4690,4690,4689,4690,4690,4690,4690,4690,4690,4690,4687,4688,4689,4689,4690,400,4695,4689,400,4690,61.904762268066406,0,0,0,31.57894515991211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,66480525312,2147479552,37302366208,0
199,1717974244247,990000.2403411865,4700,1,0.30000000000000004,329329.0298461914,4700,1,0.30000000000000004,563152.8585357666,4700,1,0.30000000000000004,361298.87199401855,4700,1,0.30000000000000004,362337.9626312256,4700,1,0.30000000000000004,356206.60693359375,4700,1,0.30000000000000004,361478.70442199707,4700,1,0.30000000000000004,368165.3352508545,4700,1,0.30000000000000004,361873.41468811035,4700,1,0.30000000000000004,324126.6836242676,4700,1,0.30000000000000004,322060.8495788574,4700,1,0.30000000000000004,342916.4658203125,4700,1,0.30000000000000004,109145409.4657135,400,4690,400,4690,4690,4690,4689,4690,4690,4690,4690,4690,4690,4690,4687,4688,4689,4689,4690,400,4695,4689,400,4690,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,100,0,66480525312,2147479552,37307494400,0
199,1717974244447,990001.9222564697,4700,1,0.30000000000000004,329329.04594421387,4700,1,0.30000000000000004,563153.0583190918,4700,1,0.30000000000000004,361298.88984680176,4700,1,0.30000000000000004,362337.969329834,4700,1,0.30000000000000004,356206.6131134033,4700,1,0.30000000000000004,361478.72007751465,4700,1,0.30000000000000004,368165.3415527344,4700,1,0.30000000000000004,361873.4209136963,4700,1,0.30000000000000004,324126.6898956299,4700,1,0.30000000000000004,322061.77352905273,4700,1,0.30000000000000004,342916.47203063965,4700,1,0.30000000000000004,109145418.84532166,400,4690,400,4690,4690,4690,4689,4690,4690,4690,4690,4690,4690,4690,4687,4688,4689,4689,4690,400,4695,4689,400,4690,100,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,100,0,66480525312,2147479552,37308502016,0
199,1717974244647,990003.4658660889,4700,1,0.30000000000000004,329329.052444458,4700,1,0.30000000000000004,563153.2456665039,4700,1,0.30000000000000004,361298.89642333984,4700,1,0.30000000000000004,362337.975479126,4700,1,0.30000000000000004,356206.6192626953,4700,1,0.30000000000000004,361478.73791503906,4700,1,0.30000000000000004,368165.34783935547,4700,1,0.30000000000000004,361873.4270629883,4700,1,0.30000000000000004,324126.6960449219,4700,1,0.30000000000000004,322062.7045135498,4700,1,0.30000000000000004,342916.47816467285,4700,1,0.30000000000000004,109145427.90576172,400,4690,400,4690,4690,4690,4689,4690,4690,4690,4690,4690,4690,4690,4687,4688,4689,4689,4690,400,4695,4689,400,4690,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,66480525312,2147479552,37313216512,0
199,1717974244847,990003.9025878906,4700,1,0.3062499999999999,329329.0910644531,4700,1,0.3062499999999999,563153.6980133057,4700,1,0.3062499999999999,361299.3157196045,4700,1,0.3062499999999999,362338.26623535156,4700,1,0.3062499999999999,356207.11796569824,4700,1,0.3062499999999999,361478.7967224121,4700,1,0.3062499999999999,368165.42555236816,4700,1,0.3062499999999999,361873.46559143066,4700,1,0.3062499999999999,324126.7156829834,4700,1,0.3062499999999999,322063.6319732666,4700,1,0.3062499999999999,342916.51121520996,4700,1,0.3062499999999999,109145437.67033386,400,4690,400,4690,4690,4690,4689,4690,4690,4690,4690,4690,4690,4690,4687,4688,4689,4689,4690,400,4695,4689,400,4690,28.571430206298828,0,0,14.285715103149414,5.263157844543457,21.052631378173828,15.000000953674316,40,4.761904716491699,0,0,0,0,0,5,0,10.526315689086914,0,0,4.761904716491699,4.761904716491699,0,100,0,66480525312,2147479552,37321752576,0
