Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717968387210,981730.1428985596,4700,1,0.30000000000000004,324512.90657043457,4700,1,0.30000000000000004,558788.296295166,4700,1,0.30000000000000004,357290.0541229248,4700,1,0.30000000000000004,357831.2204284668,4700,1,0.30000000000000004,351566.8610229492,4700,1,0.30000000000000004,355476.90313720703,4700,1,0.30000000000000004,362634.9593811035,4700,1,0.30000000000000004,355228.58012390137,4700,1,0.30000000000000004,320114.7155761719,4700,1,0.30000000000000004,318009.39570617676,4700,1,0.30000000000000004,338946.4986419678,4700,1,0.30000000000000004,108893305.84658813,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,0,0,0,11.538461685180664,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37248061440,0
199,1717968387211,981730.1451263428,4700,1,0.30000000000000004,324512.9172515869,4700,1,0.30000000000000004,558788.306060791,4700,1,0.30000000000000004,357290.0562591553,4700,1,0.30000000000000004,357831.2304382324,4700,1,0.30000000000000004,351566.86334228516,4700,1,0.30000000000000004,355476.905380249,4700,1,0.30000000000000004,362634.9621887207,4700,1,0.30000000000000004,355228.581741333,4700,1,0.30000000000000004,320114.7171936035,4700,1,0.30000000000000004,318009.39739990234,4700,1,0.30000000000000004,338946.5002746582,4700,1,0.30000000000000004,108893305.95349121,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,0,0,0,11.538461685180664,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37251211264,0
199,1717968387411,981730.3915557861,4700,1,0.30000000000000004,324513.09812927246,4700,1,0.3062499999999999,558788.54737854,4700,1,0.3062499999999999,357290.2985839844,4700,1,0.30000000000000004,357832.18409729004,4700,1,0.3062499999999999,351567.1241607666,4700,1,0.3062499999999999,355477.10078430176,4700,1,0.3062499999999999,362635.22734069824,4700,1,0.3062499999999999,355228.77014160156,4700,1,0.3062499999999999,320114.91133117676,4700,1,0.3062499999999999,318009.6350097656,4700,1,0.3062499999999999,338946.8500061035,4700,1,0.3062499999999999,108893315.56536865,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4.761904716491699,5,0,14.285715103149414,0,0,95.23809814453125,5.263157844543457,0,4.761904716491699,0,0,0,9.523809432983398,5,0,0,0,0,4.761904716491699,5,5,5,15.000000953674316,66480525312,2147479552,37255835648,0
199,1717968387611,981730.7245178223,4700,1,0.3062499999999999,324513.3598022461,4700,1,0.3062499999999999,558788.9273223877,4700,1,0.3062499999999999,357290.6562652588,4700,1,0.3062499999999999,357833.17012023926,4700,1,0.3062499999999999,351567.4764556885,4700,1,0.3062499999999999,355477.4024810791,4700,1,0.3062499999999999,362635.5590209961,4700,1,0.3062499999999999,355229.027053833,4700,1,0.3062499999999999,320115.19145202637,4700,1,0.3062499999999999,318009.95024108887,4700,1,0.3062499999999999,338947.1639251709,4700,1,0.3062499999999999,108893326.2237091,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,5.555555820465088,5,5,25,4.761904716491699,14.285715103149414,0,5.263157844543457,15.000000953674316,10,0,0,95,10.526315689086914,9.523809432983398,14.285715103149414,5,5,14.285715103149414,5.263157844543457,5.555555820465088,19.047618865966797,5,22.72727394104004,66480525312,2147479552,37352521728,0
199,1717968387811,981730.8160247803,4700,1,0.30000000000000004,324513.5048828125,4700,1,0.30000000000000004,558789.1613006592,4700,1,0.30000000000000004,357290.74645996094,4700,1,0.30000000000000004,357834.1627960205,4700,1,0.30000000000000004,351567.61627197266,4700,1,0.30000000000000004,355477.570602417,4700,1,0.30000000000000004,362635.7817687988,4700,1,0.30000000000000004,355229.0846710205,4700,1,0.30000000000000004,320115.3514251709,4700,1,0.30000000000000004,318010.06314086914,4700,1,0.30000000000000004,338947.3127746582,4700,1,0.30000000000000004,108893334.94255066,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4.761904716491699,0,10,5.555555820465088,0,0,65,0,0,4.761904716491699,0,0,35,10,5,4.761904716491699,0,5,0,0,0,9.523809432983398,0,4.761904716491699,66480525312,2147479552,37354123264,0
199,1717968388011,981731.0440979004,4700,1,0.30000000000000004,324513.52571105957,4700,1,0.30000000000000004,558789.2523193359,4700,1,0.30000000000000004,357290.75617980957,4700,1,0.30000000000000004,357835.1550140381,4700,1,0.30000000000000004,351567.7310333252,4700,1,0.30000000000000004,355477.5834655762,4700,1,0.30000000000000004,362635.83877563477,4700,1,0.30000000000000004,355229.14094543457,4700,1,0.30000000000000004,320115.42080688477,4700,1,0.30000000000000004,318010.1701965332,4700,1,0.30000000000000004,338948.28564453125,4700,1,0.30000000000000004,108893344.15374756,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4.761904716491699,0,0,0,0,0,100,0,0,0,4.761904716491699,0,0,0,63.15789031982422,0,0,0,0,4.761904716491699,4.761904716491699,0,4.761904716491699,5.263157844543457,66480525312,2147479552,37360848896,0
199,1717968388211,981731.2789916992,4700,1,0.30000000000000004,324513.5443572998,4700,1,0.30000000000000004,558789.3050689697,4700,1,0.30000000000000004,357290.765914917,4700,1,0.30000000000000004,357836.1438446045,4700,1,0.30000000000000004,351567.77656555176,4700,1,0.30000000000000004,355477.58984375,4700,1,0.30000000000000004,362635.84996032715,4700,1,0.30000000000000004,355229.15740966797,4700,1,0.30000000000000004,320115.42723083496,4700,1,0.30000000000000004,318010.17668151855,4700,1,0.30000000000000004,338949.3346557617,4700,1,0.30000000000000004,108893353.15757751,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,0,0,0,0,0,0,100,0,0,0,0,0,0,0,90.47618865966797,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37367455744,0
199,1717968388411,981731.5045166016,4700,1,0.30000000000000004,324513.55046081543,4700,1,0.30000000000000004,558789.3368682861,4700,1,0.30000000000000004,357290.78005981445,4700,1,0.30000000000000004,357837.12675476074,4700,1,0.30000000000000004,351567.8097076416,4700,1,0.30000000000000004,355477.6064300537,4700,1,0.30000000000000004,362635.8637237549,4700,1,0.30000000000000004,355229.17503356934,4700,1,0.30000000000000004,320115.43341064453,4700,1,0.30000000000000004,318010.1832122803,4700,1,0.30000000000000004,338950.8684234619,4700,1,0.30000000000000004,108893362.40693665,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,0,0,0,0,0,0,100,0,0,0,0,0,0,0,95.23809814453125,0,0,0,5,0,0,0,0,0,66480525312,2147479552,37368356864,0
199,1717968388612,981731.7233276367,4700,1,0.30000000000000004,324513.55659484863,4700,1,0.30000000000000004,558789.3441619873,4700,1,0.30000000000000004,357290.78677368164,4700,1,0.30000000000000004,357838.11541748047,4700,1,0.30000000000000004,351567.8158721924,4700,1,0.30000000000000004,355477.61308288574,4700,1,0.30000000000000004,362635.8704071045,4700,1,0.30000000000000004,355229.1961669922,4700,1,0.30000000000000004,320115.4395904541,4700,1,0.30000000000000004,318010.18937683105,4700,1,0.30000000000000004,338952.4578857422,4700,1,0.30000000000000004,108893371.62614441,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37372174336,0
199,1717968388812,981732.029586792,4700,1,0.3062499999999999,324514.21781921387,4700,1,0.3062499999999999,558789.3759765625,4700,1,0.3062499999999999,357290.8223876953,4700,1,0.3062499999999999,357839.0959777832,4700,1,0.3062499999999999,351567.8941040039,4700,1,0.3062499999999999,355477.6381072998,4700,1,0.3062499999999999,362636.0366668701,4700,1,0.3062499999999999,355229.23779296875,4700,1,0.3062499999999999,320115.47077941895,4700,1,0.3062499999999999,318010.55435180664,4700,1,0.3062499999999999,338952.8318939209,4700,1,0.3062499999999999,108893381.20652771,400,4690,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,10,0,30.000001907348633,0,0,0,42.85714340209961,0,0,0,0,0,60.000003814697266,33.333335876464844,33.333335876464844,14.285715103149414,0,0,0,0,0,5,0,0,66480525312,2147479552,37383405568,0
