Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717975003810,991009.9192962646,4700,1,0.30000000000000004,329911.17544555664,4700,1,0.30000000000000004,563888.2421264648,4700,1,0.30000000000000004,361773.07470703125,4700,1,0.30000000000000004,362756.70388793945,4700,1,0.30000000000000004,356976.5200805664,4700,1,0.30000000000000004,362041.0874328613,4700,1,0.30000000000000004,368508.8829193115,4700,1,0.30000000000000004,362729.45262145996,4700,1,0.30000000000000004,324784.80488586426,4700,1,0.30000000000000004,322586.3979797363,4700,1,0.30000000000000004,343592.76203918457,4700,1,0.30000000000000004,109177965.8767395,400,4689,400,400,400,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4689,0,0,0,0,0,0,9.090909004211426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.65217590332031,0,66480525312,2147479552,37201428480,0
199,1717975003810,991009.9223327637,4700,1,0.30000000000000004,329911.17669677734,4700,1,0.30000000000000004,563888.2447052002,4700,1,0.30000000000000004,361773.07640075684,4700,1,0.30000000000000004,362756.71910095215,4700,1,0.30000000000000004,356976.5220031738,4700,1,0.30000000000000004,362041.08950805664,4700,1,0.30000000000000004,368508.8937988281,4700,1,0.30000000000000004,362729.45414733887,4700,1,0.30000000000000004,324784.80685424805,4700,1,0.30000000000000004,322586.40727233887,4700,1,0.30000000000000004,343592.7632904053,4700,1,0.30000000000000004,109177965.98048401,400,4689,400,400,400,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4689,0,0,0,0,0,0,9.090909004211426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.65217590332031,0,66480525312,2147479552,37203492864,0
199,1717975004010,991010.1931762695,4700,1,0.30000000000000004,329911.3199005127,4700,1,0.30000000000000004,563888.5042724609,4700,1,0.30000000000000004,361773.3158874512,4700,1,0.30000000000000004,362756.8875732422,4700,1,0.30000000000000004,356976.8027191162,4700,1,0.30000000000000004,362041.37939453125,4700,1,0.30000000000000004,368509.09257507324,4700,1,0.30000000000000004,362729.6090698242,4700,1,0.30000000000000004,324784.9775238037,4700,1,0.30000000000000004,322587.2856903076,4700,1,0.30000000000000004,343592.8992614746,4700,1,0.30000000000000004,109177975.35594177,400,4689,400,400,400,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4689,9.523809432983398,5,0,0,4.761904716491699,4.761904716491699,5,10.526315689086914,15.000000953674316,0,0,4.761904716491699,0,0,4.545454502105713,0,4.761904716491699,0,0,0,4.545454502105713,9.523809432983398,94.73684692382813,0,66480525312,2147479552,37213728768,0
199,1717975004210,991010.5013122559,4700,1,0.3062499999999999,329911.5823059082,4700,1,0.3062499999999999,563888.8044281006,4700,1,0.3062499999999999,361773.63694763184,4700,1,0.3062499999999999,362757.1286621094,4700,1,0.3062499999999999,356977.12173461914,4700,1,0.3062499999999999,362041.6772918701,4700,1,0.3062499999999999,368509.35707092285,4700,1,0.3062499999999999,362729.874710083,4700,1,0.3062499999999999,324785.20750427246,4700,1,0.3062499999999999,322588.2444458008,4700,1,0.3062499999999999,343593.1654663086,4700,1,0.3062499999999999,109177985.54039001,400,4689,400,400,400,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4689,5.263157844543457,14.285715103149414,0,5.263157844543457,15.000000953674316,5.555555820465088,5.263157844543457,15.000000953674316,15.000000953674316,9.523809432983398,10,5.263157844543457,9.523809432983398,10,10,10,5,9.523809432983398,5,10,0,5.263157844543457,100,5,66480525312,2147479552,37303463936,0
199,1717975004410,991010.7050323486,4700,1,0.30000000000000004,329911.76570129395,4700,1,0.30000000000000004,563888.8793334961,4700,1,0.30000000000000004,361773.83044433594,4700,1,0.30000000000000004,362757.29023742676,4700,1,0.30000000000000004,356977.2031402588,4700,1,0.30000000000000004,362042.0680847168,4700,1,0.30000000000000004,368509.48316955566,4700,1,0.30000000000000004,362729.97885131836,4700,1,0.30000000000000004,324785.28967285156,4700,1,0.30000000000000004,322589.17977905273,4700,1,0.30000000000000004,343593.3280181885,4700,1,0.30000000000000004,109177994.56381226,400,4689,400,400,400,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4689,4.761904716491699,10,0,0,5.263157844543457,0,5,5,5,0,0,0,0,0,0,0,0,0,16.666667938232422,4.761904716491699,0,0,100,5,66480525312,2147479552,37312446464,0
199,1717975004611,991010.7554626465,4700,1,0.30000000000000004,329911.84437561035,4700,1,0.30000000000000004,563889.0690612793,4700,1,0.30000000000000004,361773.8745574951,4700,1,0.30000000000000004,362758.2205963135,4700,1,0.30000000000000004,356977.33099365234,4700,1,0.30000000000000004,362042.1456604004,4700,1,0.30000000000000004,368509.5001678467,4700,1,0.30000000000000004,362730.01626586914,4700,1,0.30000000000000004,324785.3210296631,4700,1,0.30000000000000004,322590.11125183105,4700,1,0.30000000000000004,343593.43380737305,4700,1,0.30000000000000004,109178003.46000671,400,4689,400,400,400,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4689,5,9.523809432983398,4.761904716491699,0,0,0,38.095237731933594,0,0,0,0,0,31.57894515991211,0,0,0,0,5.263157844543457,4.761904716491699,0,0,0,100,0,66480525312,2147479552,37317287936,0
199,1717975004811,991010.9326934814,4700,1,0.30000000000000004,329912.21759033203,4700,1,0.30000000000000004,563889.2171630859,4700,1,0.30000000000000004,361773.88694763184,4700,1,0.30000000000000004,362758.8908691406,4700,1,0.30000000000000004,356977.353225708,4700,1,0.30000000000000004,362042.152053833,4700,1,0.30000000000000004,368509.5065460205,4700,1,0.30000000000000004,362730.03288269043,4700,1,0.30000000000000004,324785.32778930664,4700,1,0.30000000000000004,322591.0378265381,4700,1,0.30000000000000004,343593.459564209,4700,1,0.30000000000000004,109178012.3767395,400,4689,400,400,400,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4689,5,9.523809432983398,4.761904716491699,0,0,0,38.095237731933594,0,0,0,0,0,31.57894515991211,0,0,0,0,5.263157844543457,4.761904716491699,0,0,0,100,0,66480525312,2147479552,37322833920,0
199,1717975005011,991012.4573822021,4700,1,0.30000000000000004,329912.3345489502,4700,1,0.30000000000000004,563889.3008117676,4700,1,0.30000000000000004,361773.8954772949,4700,1,0.30000000000000004,362758.91076660156,4700,1,0.30000000000000004,356977.359375,4700,1,0.30000000000000004,362042.1582183838,4700,1,0.30000000000000004,368509.515625,4700,1,0.30000000000000004,362730.04107666016,4700,1,0.30000000000000004,324785.3402709961,4700,1,0.30000000000000004,322591.97535705566,4700,1,0.30000000000000004,343593.50563049316,4700,1,0.30000000000000004,109178021.68106079,400,4689,400,400,400,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4689,56.41025924682617,0,0,2.5,0,2.4390242099761963,2.4390242099761963,0,0,0,0,2.4390242099761963,25.641027450561523,0,0,10.256410598754883,0,4.761904716491699,0,0,0,0,100,0,66480525312,2147479552,37325180928,0
199,1717975005211,991014.1101989746,4700,1,0.30000000000000004,329912.340713501,4700,1,0.30000000000000004,563889.4893035889,4700,1,0.30000000000000004,361773.9024658203,4700,1,0.30000000000000004,362758.9284057617,4700,1,0.30000000000000004,356977.3681640625,4700,1,0.30000000000000004,362042.16510009766,4700,1,0.30000000000000004,368509.5219421387,4700,1,0.30000000000000004,362730.0552062988,4700,1,0.30000000000000004,324785.3465576172,4700,1,0.30000000000000004,322592.90563964844,4700,1,0.30000000000000004,343593.51176452637,4700,1,0.30000000000000004,109178031.00505066,400,4689,400,400,400,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4689,100,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,66480525312,2147479552,37328453632,0
199,1717975005411,991014.6423187256,4700,1,0.3062499999999999,329912.401473999,4700,1,0.30000000000000004,563889.8089141846,4700,1,0.30000000000000004,361773.9478607178,4700,1,0.3062499999999999,362759.2508239746,4700,1,0.3062499999999999,356977.48988342285,4700,1,0.3062499999999999,362042.1968841553,4700,1,0.3062499999999999,368509.5514678955,4700,1,0.3062499999999999,362730.49952697754,4700,1,0.30000000000000004,324785.37286376953,4700,1,0.30000000000000004,322593.83728027344,4700,1,0.30000000000000004,343593.579788208,4700,1,0.30000000000000004,109178040.46464539,400,4689,400,400,400,400,4690,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,400,4690,4689,42.85714340209961,4.761904716491699,0,10,0,0,0,0,0,0,31.57894515991211,0,28.571430206298828,0,0,0,0,4.761904716491699,0,0,0,0,100,0,66480525312,2147479552,37336502272,0
