Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717965525849,977835.5277404785,4700,1,0.30000000000000004,322153.0765686035,4700,1,0.30000000000000004,556216.9918365479,4700,1,0.30000000000000004,354762.5776824951,4700,1,0.30000000000000004,355599.66987609863,4700,1,0.30000000000000004,349425.7182312012,4700,1,0.30000000000000004,352756.2134552002,4700,1,0.30000000000000004,359820.11337280273,4700,1,0.30000000000000004,352380.8302154541,4700,1,0.30000000000000004,318018.7562713623,4700,1,0.30000000000000004,316228.83026123047,4700,1,0.30000000000000004,336761.3097076416,4700,1,0.30000000000000004,108769798.93475342,400,400,400,4690,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,0,0,0,100,7.407407283782959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37300871168,0
199,1717965525850,977835.5427856445,4700,1,0.30000000000000004,322153.07888793945,4700,1,0.3062499999999999,556217.001083374,4700,1,0.3062499999999999,354762.5799713135,4700,1,0.30000000000000004,355599.67303466797,4700,1,0.30000000000000004,349425.72021484375,4700,1,0.30000000000000004,352756.22537231445,4700,1,0.3062499999999999,359820.11502075195,4700,1,0.3062499999999999,352380.8315734863,4700,1,0.3062499999999999,318018.75762939453,4700,1,0.3062499999999999,316228.831741333,4700,1,0.3062499999999999,336761.31086730957,4700,1,0.3062499999999999,108769799.03692627,400,400,400,4690,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,0,0,0,100,7.407407283782959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37302935552,0
199,1717965526050,977835.8130950928,4700,1,0.30000000000000004,322153.3585510254,4700,1,0.3062499999999999,556217.8633117676,4700,1,0.3062499999999999,354762.9771118164,4700,1,0.30000000000000004,355600.0628051758,4700,1,0.30000000000000004,349426.0629119873,4700,1,0.30000000000000004,352756.4771270752,4700,1,0.30000000000000004,359820.4924468994,4700,1,0.30000000000000004,352381.02995300293,4700,1,0.30000000000000004,318018.94636535645,4700,1,0.30000000000000004,316229.0218963623,4700,1,0.30000000000000004,336761.5334777832,4700,1,0.3062499999999999,108769809.02236938,400,400,400,4690,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,5,19.047618865966797,0,90,0,5,4.761904716491699,9.523809432983398,0,5.263157844543457,4.761904716491699,0,15.000000953674316,0,4.761904716491699,4.761904716491699,0,10,9.523809432983398,13.636363983154297,0,0,4.761904716491699,4.761904716491699,66480525312,2147479552,37316816896,0
199,1717965526250,977836.2493286133,4700,1,0.30000000000000004,322153.59240722656,4700,1,0.30000000000000004,556218.8028411865,4700,1,0.30000000000000004,354763.282119751,4700,1,0.30000000000000004,355600.42236328125,4700,1,0.30000000000000004,349426.558013916,4700,1,0.30000000000000004,352756.8292694092,4700,1,0.30000000000000004,359820.88606262207,4700,1,0.30000000000000004,352381.3412780762,4700,1,0.30000000000000004,318019.1800994873,4700,1,0.30000000000000004,316229.26246643066,4700,1,0.30000000000000004,336761.71702575684,4700,1,0.30000000000000004,108769819.6014862,400,400,400,4690,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,25,19.047618865966797,5.263157844543457,100,13.636363983154297,10,15.000000953674316,5,9.523809432983398,19.047618865966797,0,10,10,10.526315689086914,0,15.000000953674316,0,28.571430206298828,15.000000953674316,10,0,0,0,10,66480525312,2147479552,37431975936,0
199,1717965526450,977836.4311065674,4700,1,0.30000000000000004,322153.73698425293,4700,1,0.30000000000000004,556219.743057251,4700,1,0.30000000000000004,354763.71574401855,4700,1,0.30000000000000004,355600.55796813965,4700,1,0.30000000000000004,349426.6139678955,4700,1,0.30000000000000004,352757.03324890137,4700,1,0.30000000000000004,359821.0696411133,4700,1,0.30000000000000004,352381.4999694824,4700,1,0.30000000000000004,318019.27185058594,4700,1,0.30000000000000004,316229.3017425537,4700,1,0.30000000000000004,336761.7529296875,4700,1,0.30000000000000004,108769828.38845825,400,400,400,4690,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,0,0,0,100,0,26.3157901763916,0,0,0,0,4.545454502105713,9.523809432983398,5,0,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,0,66480525312,2147479552,37413408768,0
199,1717965526650,977836.4537963867,4700,1,0.30000000000000004,322153.9338378906,4700,1,0.30000000000000004,556220.6798706055,4700,1,0.30000000000000004,354764.921005249,4700,1,0.30000000000000004,355600.5663909912,4700,1,0.30000000000000004,349426.62130737305,4700,1,0.30000000000000004,352757.06105041504,4700,1,0.30000000000000004,359821.0978088379,4700,1,0.30000000000000004,352381.50759887695,4700,1,0.30000000000000004,318019.278717041,4700,1,0.30000000000000004,316229.32708740234,4700,1,0.30000000000000004,336761.7593841553,4700,1,0.30000000000000004,108769837.28471375,400,400,400,4690,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,0,0,0,100,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37420597248,0
199,1717965526850,977836.4736175537,4700,1,0.30000000000000004,322154.13035583496,4700,1,0.30000000000000004,556221.61328125,4700,1,0.30000000000000004,354766.2657318115,4700,1,0.30000000000000004,355600.587890625,4700,1,0.30000000000000004,349426.62829589844,4700,1,0.30000000000000004,352757.1224517822,4700,1,0.30000000000000004,359821.1683654785,4700,1,0.30000000000000004,352381.5208892822,4700,1,0.30000000000000004,318019.2851867676,4700,1,0.30000000000000004,316229.3341522217,4700,1,0.30000000000000004,336761.76596069336,4700,1,0.30000000000000004,108769846.32142639,400,400,400,4690,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,0,0,0,100,0,94.73684692382813,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,66480525312,2147479552,37424144384,0
199,1717965527050,977836.4920501709,4700,1,0.30000000000000004,322154.2928009033,4700,1,0.30000000000000004,556222.5501403809,4700,1,0.30000000000000004,354767.9712677002,4700,1,0.30000000000000004,355600.60481262207,4700,1,0.30000000000000004,349426.64532470703,4700,1,0.30000000000000004,352757.1393432617,4700,1,0.30000000000000004,359821.17475891113,4700,1,0.30000000000000004,352381.52809143066,4700,1,0.30000000000000004,318019.30155944824,4700,1,0.30000000000000004,316229.3408203125,4700,1,0.30000000000000004,336761.77214050293,4700,1,0.30000000000000004,108769855.54129028,400,400,400,4690,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,0,0,0,100,4.761904716491699,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37425356800,0
199,1717965527250,977836.5086364746,4700,1,0.30000000000000004,322154.41986083984,4700,1,0.30000000000000004,556223.4873046875,4700,1,0.30000000000000004,354769.1194152832,4700,1,0.30000000000000004,355600.61906433105,4700,1,0.30000000000000004,349426.6520843506,4700,1,0.30000000000000004,352757.14611816406,4700,1,0.30000000000000004,359821.1815185547,4700,1,0.30000000000000004,352381.5372467041,4700,1,0.30000000000000004,318019.4819946289,4700,1,0.30000000000000004,316229.3472595215,4700,1,0.30000000000000004,336761.77827453613,4700,1,0.30000000000000004,108769864.47668457,400,400,400,4690,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,0,0,0,100,0,85,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,14.285715103149414,0,0,66480525312,2147479552,37430697984,0
199,1717965527451,977836.5500640869,4700,1,0.30000000000000004,322154.6945953369,4700,1,0.30000000000000004,556224.4309997559,4700,1,0.30000000000000004,354770.1286468506,4700,1,0.30000000000000004,355600.82878112793,4700,1,0.30000000000000004,349426.68048095703,4700,1,0.30000000000000004,352757.9106903076,4700,1,0.30000000000000004,359821.23136901855,4700,1,0.30000000000000004,352381.7391052246,4700,1,0.30000000000000004,318019.8059539795,4700,1,0.30000000000000004,316229.3830871582,4700,1,0.30000000000000004,336761.8126678467,4700,1,0.30000000000000004,108769874.68553162,400,400,400,4690,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,400,400,400,400,400,400,0,0,0,100,4.761904716491699,80,14.285715103149414,0,0,0,0,0,0,4.761904716491699,0,10.526315689086914,0,0,47.619049072265625,0,5,21.052631378173828,0,0,66480525312,2147479552,37445660672,0
