Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717969580534,983340.1085662842,4700,1,0.30000000000000004,325487.5313873291,4700,1,0.30000000000000004,559605.8590698242,4700,1,0.30000000000000004,358059.7117462158,4700,1,0.30000000000000004,358933.8255767822,4700,1,0.30000000000000004,352553.8100891113,4700,1,0.30000000000000004,356779.04222106934,4700,1,0.30000000000000004,363635.2861328125,4700,1,0.30000000000000004,356492.4015045166,4700,1,0.30000000000000004,321004.9035949707,4700,1,0.30000000000000004,318738.5452270508,4700,1,0.30000000000000004,339792.6907043457,4700,1,0.30000000000000004,108944537.17477417,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,4.545454502105713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454502105713,0,0,100,0,0,0,0,0,66480525312,2147479552,37330259968,0
199,1717969580535,983340.1103515625,4700,1,0.30000000000000004,325487.54124450684,4700,1,0.30000000000000004,559605.8696136475,4700,1,0.30000000000000004,358059.71382141113,4700,1,0.30000000000000004,358933.8286590576,4700,1,0.30000000000000004,352553.8117828369,4700,1,0.30000000000000004,356779.0522155762,4700,1,0.30000000000000004,363635.287689209,4700,1,0.30000000000000004,356492.4024810791,4700,1,0.30000000000000004,321004.904586792,4700,1,0.30000000000000004,318738.54623413086,4700,1,0.30000000000000004,339792.6917114258,4700,1,0.30000000000000004,108944537.26921082,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,4.545454502105713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454502105713,0,0,100,0,0,0,0,0,66480525312,2147479552,37333356544,0
199,1717969580735,983340.3983154297,4700,1,0.30000000000000004,325487.8874359131,4700,1,0.30000000000000004,559606.1007232666,4700,1,0.30000000000000004,358059.9552154541,4700,1,0.30000000000000004,358934.1387786865,4700,1,0.30000000000000004,352554.1072998047,4700,1,0.30000000000000004,356779.9933166504,4700,1,0.30000000000000004,363635.5859069824,4700,1,0.30000000000000004,356492.58171081543,4700,1,0.30000000000000004,321005.15270996094,4700,1,0.30000000000000004,318738.8211364746,4700,1,0.30000000000000004,339793.0463104248,4700,1,0.30000000000000004,108944547.20700073,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,5,5,5,0,0,0,5,0,0,0,4.761904716491699,9.523809432983398,4.761904716491699,5.263157844543457,15.789472579956055,14.285715103149414,4.761904716491699,5.263157844543457,90.47618865966797,0,0,0,0,5,66480525312,2147479552,37340999680,0
199,1717969580935,983340.6588439941,4700,1,0.30000000000000004,325488.2102203369,4700,1,0.30000000000000004,559606.3332977295,4700,1,0.30000000000000004,358060.20164489746,4700,1,0.30000000000000004,358934.4498901367,4700,1,0.30000000000000004,352554.3736419678,4700,1,0.30000000000000004,356781.0484161377,4700,1,0.30000000000000004,363635.95907592773,4700,1,0.30000000000000004,356492.8034515381,4700,1,0.30000000000000004,321005.36755371094,4700,1,0.30000000000000004,318739.10314941406,4700,1,0.30000000000000004,339793.37031555176,4700,1,0.30000000000000004,108944557.58732605,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,9.523809432983398,10,15.000000953674316,5.263157844543457,5.263157844543457,0,15.789472579956055,0,5.263157844543457,0,0,5.555555820465088,5.263157844543457,5,20,15.000000953674316,9.523809432983398,19.047618865966797,100,10,5,5,5.263157844543457,14.285715103149414,66480525312,2147479552,37436141568,0
199,1717969581135,983340.7593078613,4700,1,0.30000000000000004,325488.3524017334,4700,1,0.30000000000000004,559606.5425567627,4700,1,0.30000000000000004,358060.2486419678,4700,1,0.30000000000000004,358934.58294677734,4700,1,0.30000000000000004,352554.4212036133,4700,1,0.30000000000000004,356782.0623931885,4700,1,0.30000000000000004,363635.99966430664,4700,1,0.30000000000000004,356492.86111450195,4700,1,0.30000000000000004,321005.4871368408,4700,1,0.30000000000000004,318739.3233642578,4700,1,0.30000000000000004,339793.5538482666,4700,1,0.30000000000000004,108944566.12254333,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,9.523809432983398,10,15.000000953674316,5.263157844543457,5.263157844543457,0,15.789472579956055,0,5.263157844543457,0,0,5.555555820465088,5.263157844543457,5,20,15.000000953674316,9.523809432983398,19.047618865966797,100,10,5,5,5.263157844543457,14.285715103149414,66480525312,2147479552,37442654208,0
199,1717969581335,983340.9886474609,4700,1,0.30000000000000004,325489.2487792969,4700,1,0.30000000000000004,559606.5949554443,4700,1,0.30000000000000004,358060.2635345459,4700,1,0.30000000000000004,358934.6472015381,4700,1,0.30000000000000004,352554.4900970459,4700,1,0.30000000000000004,356783.0616912842,4700,1,0.30000000000000004,363636.01806640625,4700,1,0.30000000000000004,356492.8979949951,4700,1,0.30000000000000004,321005.55517578125,4700,1,0.30000000000000004,318739.4278411865,4700,1,0.30000000000000004,339793.57247924805,4700,1,0.30000000000000004,108944575.18086243,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,2.4390242099761963,0,36.585365295410156,7.500000476837158,2.5,0,2.4390242099761963,0,48.780487060546875,0,0,0,2.4390242099761963,2.5,2.4390242099761963,2.5,2.5,0,53.84615707397461,0,2.4390242099761963,4.878048419952393,5,0,66480525312,2147479552,37451153408,0
199,1717969581535,983341.224609375,4700,1,0.30000000000000004,325490.3460083008,4700,1,0.30000000000000004,559606.613571167,4700,1,0.30000000000000004,358060.27085876465,4700,1,0.30000000000000004,358934.6808319092,4700,1,0.30000000000000004,352554.51934814453,4700,1,0.30000000000000004,356784.0559234619,4700,1,0.30000000000000004,363636.0295715332,4700,1,0.30000000000000004,356492.90478515625,4700,1,0.30000000000000004,321005.5617828369,4700,1,0.30000000000000004,318739.4367828369,4700,1,0.30000000000000004,339793.5786743164,4700,1,0.30000000000000004,108944584.10253906,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,0,0,95,0,0,0,0,0,100,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,66480525312,2147479552,37457588224,0
199,1717969581736,983341.4491119385,4700,1,0.30000000000000004,325491.8514404297,4700,1,0.30000000000000004,559606.6259613037,4700,1,0.30000000000000004,358060.2770843506,4700,1,0.30000000000000004,358934.68800354004,4700,1,0.30000000000000004,352554.55267333984,4700,1,0.30000000000000004,356785.0522766113,4700,1,0.30000000000000004,363636.0361633301,4700,1,0.30000000000000004,356492.91749572754,4700,1,0.30000000000000004,321005.56800842285,4700,1,0.30000000000000004,318739.44424438477,4700,1,0.30000000000000004,339793.5872192383,4700,1,0.30000000000000004,108944593.28926086,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,0,0,100,4.761904716491699,0,0,0,0,100,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37459935232,0
199,1717969581936,983341.6378326416,4700,1,0.30000000000000004,325493.44554138184,4700,1,0.30000000000000004,559606.6325378418,4700,1,0.30000000000000004,358060.28367614746,4700,1,0.30000000000000004,358934.6942138672,4700,1,0.30000000000000004,352554.559173584,4700,1,0.30000000000000004,356786.044921875,4700,1,0.30000000000000004,363636.0514526367,4700,1,0.30000000000000004,356492.92362976074,4700,1,0.30000000000000004,321005.57426452637,4700,1,0.30000000000000004,318739.45109558105,4700,1,0.30000000000000004,339793.5946044922,4700,1,0.30000000000000004,108944602.5441742,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37462691840,0
199,1717969582135,983341.914642334,4700,1,0.3062499999999999,325493.9213409424,4700,1,0.3062499999999999,559607.0823059082,4700,1,0.3062499999999999,358060.3084411621,4700,1,0.3062499999999999,358934.745010376,4700,1,0.3062499999999999,352554.6072540283,4700,1,0.3062499999999999,356787.0379180908,4700,1,0.3062499999999999,363636.1811828613,4700,1,0.3062499999999999,356493.0678405762,4700,1,0.3062499999999999,321005.8854827881,4700,1,0.3062499999999999,318739.50842285156,4700,1,0.3062499999999999,339793.6217803955,4700,1,0.3062499999999999,108944611.94198608,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37471092736,0
