name,#commits,first commit,last commit,project life time (s),#contributors,online,included,stars,URL
Ajaxels/MIB2,30,2020-03-31T09:16:18,2024-02-16T12:27:07,1417.132511574074,2,True,True,25,https://github.com/Ajaxels/MIB2
ChangLabUcsf/HamiltonOganianChang2020,30,2020-08-14T16:34:20,2024-02-07T01:10:01,1271.358113425926,2,True,True,2,https://github.com/ChangLabUcsf/HamiltonOganianChang2020
DanuserLab/u-shape3D,30,2019-07-05T19:40:01,2024-02-16T17:01:54,1686.8901967592592,4,True,True,24,https://github.com/DanuserLab/u-shape3D
MiSTer-devel/Filters_MiSTer,30,2019-11-30T12:52:31,2024-02-14T23:58:04,1537.4621875,8,True,True,33,https://github.com/MiSTer-devel/Filters_MiSTer
Niccolo-Marcucci/Lumerical-Objects,30,2020-04-10T18:28:24,2024-02-07T09:26:56,1397.6239814814817,3,True,True,4,https://github.com/Niccolo-Marcucci/Lumerical-Objects
PeterRochford/SkillMetricsToolbox,30,2019-09-01T17:12:05,2024-02-12T03:57:54,1624.4484837962964,2,True,True,34,https://github.com/PeterRochford/SkillMetricsToolbox
ZhouMengjie/you-are-here,30,2020-09-10T12:21:16,2024-01-29T05:10:56,1235.7011574074074,2,True,True,16,https://github.com/ZhouMengjie/you-are-here
cossan-working-group/BayesianModelUpdating,30,2020-05-16T21:08:47,2024-02-05T14:00:55,1359.7028703703704,3,True,True,23,https://github.com/cossan-working-group/BayesianModelUpdating
datarail/DrugResponse,30,2020-07-31T20:51:25,2024-02-15T16:18:46,1293.8106597222222,4,True,True,2,https://github.com/datarail/DrugResponse
de-Bivort-Lab/margo,30,2019-08-02T13:20:03,2024-02-12T18:42:44,1655.224085648148,2,True,True,21,https://github.com/de-Bivort-Lab/margo
denavit/MATLAB-Library,30,2020-04-11T00:44:32,2024-01-27T00:57:15,1386.0088310185183,2,True,True,2,https://github.com/denavit/MATLAB-Library
joaomh/curso-de-matlab,30,2020-04-07T02:52:48,2024-02-14T17:34:03,1408.6119791666667,2,True,True,35,https://github.com/joaomh/curso-de-matlab
juankg214/Metodos,30,2019-10-30T14:30:44,2024-02-02T03:20:37,1555.5346412037038,4,True,True,4,https://github.com/juankg214/Metodos
macster110/pamguarddatagram,30,2020-05-05T13:40:08,2024-02-01T12:04:16,1366.933425925926,2,True,True,7,https://github.com/macster110/pamguarddatagram
nickabattista/Holy_Grail,30,2019-09-21T17:50:18,2024-02-02T23:58:59,1595.2560300925925,2,True,True,32,https://github.com/nickabattista/Holy_Grail
octarisk/octarisk,30,2020-05-15T20:57:43,2024-02-05T13:58:36,1360.708946759259,2,True,True,22,https://github.com/octarisk/octarisk
ronenno1/chap,30,2020-01-23T14:15:43,2024-01-30T10:43:19,1467.8525,2,True,True,8,https://github.com/ronenno1/chap
sccn/ICLabel,30,2019-12-04T08:09:37,2024-02-10T07:27:22,1528.9706597222223,5,True,True,47,https://github.com/sccn/ICLabel
xdf-modules/xdf-Matlab,30,2019-08-14T17:12:39,2024-02-10T22:42:32,1641.2290856481482,7,True,True,9,https://github.com/xdf-modules/xdf-Matlab
