name,#commits,first commit,last commit,project life time (s),#contributors,online,included,stars,URL
00Nave198/MSU-ECE480-13-mmWave,14,2020-12-10T04:28:16,2020-12-18T09:08:35,8.194664351851852,2,True,True,1,https://github.com/00Nave198/MSU-ECE480-13-mmWave
00crazy00/super-resolution-matlab,10,2016-09-18T13:47:03,2017-09-30T08:23:31,376.7753240740741,2,True,True,3,https://github.com/00crazy00/super-resolution-matlab
013630700/CG_Tikhonov,30,2019-11-17T11:32:53,2020-09-09T05:37:24,296.75313657407406,3,True,True,3,https://github.com/013630700/CG_Tikhonov
07Agarg/Automatic-Exposure-Correction,30,2019-10-18T14:06:07,2023-05-08T06:35:33,1297.6871064814816,3,True,True,35,https://github.com/07Agarg/Automatic-Exposure-Correction
0rig1n/tour-into-the-picture,23,2022-06-25T10:51:08,2022-07-19T16:02:57,24.216539351851853,2,True,True,2,https://github.com/0rig1n/tour-into-the-picture
0todd0000/spm1dmatlab,30,2016-08-31T01:01:25,2023-11-05T05:19:30,2622.179224537037,2,True,True,25,https://github.com/0todd0000/spm1dmatlab
0x434D/slam_integrated_mobile_platform,30,2022-02-03T16:05:21,2022-02-11T10:06:00,7.750451388888889,4,True,True,10,https://github.com/0x434D/slam_integrated_mobile_platform
0zgur0/3D_face_reconstruction_from_stereo_pairs,8,2017-04-23T21:31:28,2019-05-11T16:32:24,747.7923148148149,2,True,True,18,https://github.com/0zgur0/3D_face_reconstruction_from_stereo_pairs
0zgur0/Lane_Tracking_using_Particle_Filters,12,2017-06-30T19:46:36,2019-08-09T12:07:36,769.68125,4,True,True,12,https://github.com/0zgur0/Lane_Tracking_using_Particle_Filters
0zgur0/Truncated_SVD_for_Image_Compression,5,2017-06-05T05:23:59,2019-05-11T16:37:13,705.4675231481482,2,True,True,1,https://github.com/0zgur0/Truncated_SVD_for_Image_Compression
10258392511/ImageReconstructionProject,30,2022-05-27T09:40:02,2022-06-12T10:22:05,16.02920138888889,4,True,True,1,https://github.com/10258392511/ImageReconstructionProject
11721206/speech-signal-process,11,2021-12-10T01:33:21,2022-06-04T13:18:47,176.48988425925927,2,True,True,4,https://github.com/11721206/speech-signal-process
123justinchen/slm,15,2022-08-24T10:02:09,2022-11-10T14:25:42,78.18302083333333,2,True,True,2,https://github.com/123justinchen/slm
12559074-md/Sensors,6,2019-08-13T05:39:37,2019-10-14T11:12:27,62.23113425925926,2,True,True,2,https://github.com/12559074-md/Sensors
12699070/robotics,30,2020-05-26T11:13:06,2020-06-10T04:45:15,14.730659722222224,2,True,True,1,https://github.com/12699070/robotics
14K-KKK/SRTP_Project,26,2021-10-08T05:28:28,2021-10-13T04:05:19,4.942256944444445,3,True,True,2,https://github.com/14K-KKK/SRTP_Project
1690132396/Hybrid-multi-scale-medical-image-fusion,8,2023-07-14T08:56:30,2023-07-18T14:13:14,4.219953703703704,2,True,True,1,https://github.com/1690132396/Hybrid-multi-scale-medical-image-fusion
1804MB/Kvistiani-lab_Dsort,30,2018-10-30T08:36:25,2019-12-02T19:58:03,398.4733564814815,2,True,True,1,https://github.com/1804MB/Kvistiani-lab_Dsort
18Allen/PPG-project,30,2022-11-10T14:41:43,2023-02-13T20:16:15,95.2323148148148,2,True,True,1,https://github.com/18Allen/PPG-project
19011169limjinsub/Lim_jinsub_19011169,6,2023-05-22T09:49:28,2023-06-22T14:07:09,31.17894675925925,2,True,True,1,https://github.com/19011169limjinsub/Lim_jinsub_19011169
1austrartsua1/subgv2,11,2018-04-11T13:21:15,2020-06-16T20:25:59,797.2949537037038,2,True,True,1,https://github.com/1austrartsua1/subgv2
1cookspe/Gear-Calculations,10,2019-03-21T21:47:03,2020-07-11T02:45:49,477.2074768518519,2,True,True,1,https://github.com/1cookspe/Gear-Calculations
2012013382/JFSSL-Cross-Modal-Retrieval,16,2017-03-25T12:04:35,2017-12-14T00:58:26,263.53739583333333,2,True,True,17,https://github.com/2012013382/JFSSL-Cross-Modal-Retrieval
21Sound/MARTA,15,2017-02-27T16:13:07,2017-06-01T11:39:19,93.8098611111111,3,True,True,3,https://github.com/21Sound/MARTA
2248671769/xHilbertPhaseError,10,2017-11-07T02:56:41,2017-11-28T03:51:11,21.037847222222226,2,True,True,2,https://github.com/2248671769/xHilbertPhaseError
25-ADUP/Capstone_Attitude_Determination,30,2019-12-05T21:47:25,2020-04-16T18:39:26,132.86945601851852,2,True,True,3,https://github.com/25-ADUP/Capstone_Attitude_Determination
