name,#commits,first commit,last commit,project life time (d),#contributors,online,included,stars,URL
AaronJackson/vrn,30,2017-09-06T13:46:30,2021-09-07T19:15:46,1462.2286574074074,5,True,True,4507,https://github.com/AaronJackson/vrn
AlfredXiangWu/face_verification_experiment,30,2015-06-12T07:38:39,2017-02-10T09:19:32,609.0700578703704,2,True,True,720,https://github.com/AlfredXiangWu/face_verification_experiment
AtsushiSakai/MATLABRobotics,30,2014-07-20T12:35:01,2018-11-10T23:36:18,1574.459224537037,1,True,True,564,https://github.com/AtsushiSakai/MATLABRobotics
Ayatans/Machine-Learning-homework,17,2020-04-18T09:26:59,2020-04-28T02:45:57,9.72150462962963,1,True,True,1856,https://github.com/Ayatans/Machine-Learning-homework
BIMK/PlatEMO,30,2023-05-29T02:15:06,2023-12-19T02:22:28,204.0051157407408,3,True,True,1320,https://github.com/BIMK/PlatEMO
Borye/machine-learning-coursera-1,11,2014-06-06T00:46:04,2014-06-17T10:37:27,11.41068287037037,1,True,True,1128,https://github.com/Borye/machine-learning-coursera-1
CERN/TIGRE,30,2023-09-11T11:41:48,2024-02-06T12:48:24,148.04625,3,True,True,477,https://github.com/CERN/TIGRE
Ewenwan/Mathematics,30,2018-11-18T13:46:46,2020-09-12T02:38:02,663.5356018518519,1,True,True,658,https://github.com/Ewenwan/Mathematics
HuangCongQing/Algorithms_MathModels,30,2018-02-08T15:05:48,2022-12-25T17:27:52,1781.0986574074077,3,True,True,1931,https://github.com/HuangCongQing/Algorithms_MathModels
Kivy-CN/Stanford-CS-229,30,2019-04-14T02:33:59,2022-03-01T05:11:19,1052.1092592592593,6,True,True,3259,https://github.com/Kivy-CN/Stanford-CS-229
LiYangSir/Smart-Algorithm,13,2020-04-25T13:24:16,2020-05-10T13:42:55,15.012951388888888,1,True,True,535,https://github.com/LiYangSir/Smart-Algorithm
Linfeng-Tang/Image-Fusion,30,2022-07-01T13:53:41,2023-06-15T02:24:39,348.52150462962965,1,True,True,567,https://github.com/Linfeng-Tang/Image-Fusion
Lisandro79/BeatTheBookie,30,2017-10-09T14:53:18,2021-10-04T15:11:23,1456.0125578703703,2,True,True,587,https://github.com/Lisandro79/BeatTheBookie
LyricYang/MIMO_OFDM,9,2017-04-24T13:11:28,2018-05-11T06:28:46,381.72034722222224,1,True,True,630,https://github.com/LyricYang/MIMO_OFDM
MatthewPeterKelly/OptimTraj,30,2016-06-28T02:21:58,2023-06-06T00:37:01,2533.927118055556,6,True,True,547,https://github.com/MatthewPeterKelly/OptimTraj
PRML/PRMLT,30,2018-11-27T07:55:58,2020-03-04T13:42:10,463.24041666666665,1,True,True,5937,https://github.com/PRML/PRMLT
Relja/netvlad,16,2015-12-04T18:00:12,2017-07-22T17:40:58,595.9866435185185,1,True,True,499,https://github.com/Relja/netvlad
ShaoqingRen/faster_rcnn,30,2015-08-25T02:08:47,2018-07-26T04:26:31,1066.0956481481485,6,True,True,2655,https://github.com/ShaoqingRen/faster_rcnn
TadasBaltrusaitis/OpenFace,30,2018-07-17T15:55:59,2021-05-28T10:25:46,1045.7706828703704,5,True,True,6468,https://github.com/TadasBaltrusaitis/OpenFace
ThomasYeoLab/CBIG,30,2022-01-17T09:19:42,2024-01-16T08:46:58,728.9772685185185,6,True,True,535,https://github.com/ThomasYeoLab/CBIG
Time9Y/Matlab-Machine,30,2023-06-16T14:52:12,2024-02-05T11:43:38,233.869050925926,1,True,True,514,https://github.com/Time9Y/Matlab-Machine
VincentWong3/automated-driving-control,15,2020-10-14T14:12:20,2020-12-04T13:45:45,50.98153935185185,1,True,True,539,https://github.com/VincentWong3/automated-driving-control
VincentWong3/automatic-driving-decision-and-planning-for-matlab,19,2021-10-17T09:14:41,2022-08-06T16:42:56,293.31128472222224,1,True,True,473,https://github.com/VincentWong3/automatic-driving-decision-and-planning-for-matlab
XgTu/2DASL,30,2019-04-12T01:59:08,2020-06-14T14:36:34,429.5259953703704,1,True,True,463,https://github.com/XgTu/2DASL
ZJULearning/MatlabFunc,28,2016-11-29T05:26:47,2018-05-16T06:23:29,533.039375,2,True,True,511,https://github.com/ZJULearning/MatlabFunc
albanie/convnet-burden,30,2017-08-09T16:56:13,2019-01-17T11:14:51,525.7629398148148,1,True,True,897,https://github.com/albanie/convnet-burden
alecjacobson/gptoolbox,30,2023-06-19T21:44:15,2024-02-08T14:42:37,233.70719907407408,3,True,True,601,https://github.com/alecjacobson/gptoolbox
altmany/export_fig,30,2022-05-01T17:31:12,2023-12-16T18:24:22,594.0369212962963,1,True,True,1224,https://github.com/altmany/export_fig
andrewssobral/lrslibrary,30,2018-01-28T14:46:31,2023-03-15T11:54:14,1871.8803587962964,1,True,True,795,https://github.com/andrewssobral/lrslibrary
anicolson/DeepXi,30,2020-11-11T00:26:28,2022-02-06T10:17:05,452.410150462963,5,True,True,477,https://github.com/anicolson/DeepXi
atinesh-s/Coursera-Machine-Learning-Stanford,14,2016-07-02T06:12:47,2020-08-11T05:12:52,1500.9583912037035,3,True,True,1091,https://github.com/atinesh-s/Coursera-Machine-Learning-Stanford
baidut/OpenCE,8,2017-04-20T06:39:04,2018-06-28T09:14:29,434.1079282407408,1,True,True,488,https://github.com/baidut/OpenCE
bayesnet/bnt,30,2019-02-24T09:47:15,2019-09-20T04:14:08,207.76866898148148,4,True,True,452,https://github.com/bayesnet/bnt
bcmi/Image-Harmonization-Dataset-iHarmony4,30,2022-02-15T02:57:26,2024-02-14T14:05:56,729.4642361111111,5,True,True,727,https://github.com/bcmi/Image-Harmonization-Dataset-iHarmony4
bearpaw/clothing-co-parsing,9,2014-08-19T07:44:06,2019-05-21T22:12:02,1736.6027314814814,1,True,True,456,https://github.com/bearpaw/clothing-co-parsing
